index,CODIGO,CLIENTE,NS,FALLA,OBSERVACIONES,FECHAINGRESO,HORAINGRESO,RECEPCIONADO,TECNICO,INFORMETALLER,FECHATERMINADO,HORATERMINADO,ESTADO,ENTREGADO,FECHA_ENTREGADO,GARANTIA,INGRESO
51,49,31,1303z,SE REINICIA,ELIM S/CABLE,2017-11-27,12:28:00,1,0,"disco duro, no se puede recuperar informacion. 

500gb $ 855.00 + iva
servicio $ 350.00 +iva",2018-02-14,11:00:42,3,S,2018-02-14,,1705.0
55,477,33,cs02712832cs0508070a,NO PRENDE,ELIMINADOR CON CABLE.     ECOLOGICA TAPALPA ´MARY´ ,2018-02-16,12:27:24,1,0,"POSIBLE TARJETA MADRE. BOTON Y ELIMINADOR BUENOS. 
$ 450,00
",2018-03-14,14:08:08,3,S,2018-03-14,,450.0
56,50,32,4b1224p48578,REVISION GRAL.,,2017-11-27,14:00:23,1,0,"bateria 12v 3.5 ah $ 400.00 + iva
y servicio.",2018-02-14,11:01:05,3,S,2018-02-14,,415.5
59,53,34,H8GJ7R1,REV. GRTNAL,TN,2017-11-27,17:24:20,1,0,"electroiman de la traccion de papel.  mant. $ 480.00 + iva
",2018-02-14,11:01:25,3,S,2018-02-14,,480.0
60,54,35,808uxsk20070,DESPUES DE UN RATO SE VA LA IMAGEN,,2017-11-27,18:02:24,1,0,$ 480.00 + iva,2018-02-14,11:02:51,3,S,2018-02-14,,480.0
61,55,35,0703010456,PÀRAPADEA LA PRENDERSE,,2017-11-27,18:08:03,1,0,$450+iva,2018-10-05,11:30:11,3,S,2018-10-05,,450.0
62,56,17,vnb4504678,REV GRAL   C/ TONER,,2017-11-28,10:21:34,1,0,mantenimiento. $ 380.00 + iva.,2018-02-14,11:03:14,3,S,2018-02-14,,380.0
63,57,38,phgdd27943,REV. GRAL.   C/TONER,,2017-11-28,14:47:07,1,0,"reparacion de teclado (panel de control), funda del fusor, mantenimiento. $ 700,00 + iva


rep. de videocasetera, serv. a equipo electronico. $ 360.00 + iv",2018-02-14,11:04:56,3,S,2018-02-14,,1060.0
64,478,135,Q2017700,,porta-rollo,2018-02-16,13:36:02,1,0,$ 280.00 + iva,2018-02-22,14:15:00,3,S,2018-02-22,,280.0
65,482,4,u52365j1d445058,REV. GRAL.  C/COMPLETA,,2018-02-16,17:17:47,1,0,servico $ 325.00 ,2018-03-14,13:31:32,3,S,2018-03-14,,325.0
66,58,38,cn973432j505c5,REV GRAL.  C/ELIM C/CABLE,,2017-11-28,14:48:33,1,0,"reparacion de la traccion de papel y encoder circular. servicio. 
$ 280.00 + iva",2018-02-14,11:05:31,3,S,2018-02-14,,280.0
69,60,40,CN2C63CKKT05D1,cart y elim s/cable,,2017-11-28,17:01:17,1,0,"rep., de la traccion de papel, mant. 

sustituir cartuchos (122). 
objeto extraño en el transporte de papel.",2018-02-14,11:06:25,3,S,2018-02-14,,122.0
71,61,37,gwtf7240359,NO PRENDE   C/ELIM S/CABLE,,2017-11-28,17:04:35,1,0,cambio de fuente de poder interna $ 670.00 + iva,2018-02-14,11:06:45,3,S,2018-02-14,,670.0
73,63,42,XA2A1503111236,"MENU, NO LO DEJA CAMBIAR","CONTROL REMOTO ( SIN TAPA TRASERA, NI BATERIA ) .",2017-11-29,09:33:34,1,0,"cambio de memoria logica $ 1,500.00 + iva",2018-02-14,11:07:18,3,S,2018-02-14,,501.0
74,64,34,vnd3220987,NO PRENDE,,2017-11-29,10:18:07,1,0,"cambio de fuente de poder y mant. $ 550,0 +iva",2018-02-14,11:08:48,3,S,2018-02-14,,550.0
75,65,43,259908000351,resp  y formt,,2017-11-29,14:50:27,1,0,servicio $ 400.00,2018-02-14,11:09:03,3,S,2018-02-14,,400.0
76,66,16,u52361e5p189710,TRABADO EL TECLADO,"CINTA, CORRECTOR. TAPA.  SIN MARGARITA.",2017-11-30,09:54:39,1,0,$ 360.00,2018-02-14,11:09:12,3,S,2018-02-14,,360.0
77,67,44,u62715b2n602679,"MARCA ERROR DE TONER ( TONER NUEVO ORIGINAL), IIMPRESION CON RAYA NEGRA, ATORA HOJAS, CHAROLA DE ALIMENTACION DE PAPEL ATORADA.",TN,2017-11-30,10:14:27,1,0,"reset toner. 
sustituir unidad de imagen (tambor)
dr 420, deja manchas. se lubrico charola. $566.00",2018-02-14,11:10:04,3,S,2018-02-14,,986.0
78,68,45,kkdx25955m,TRACCION DEL PAPEL,,2017-11-30,14:45:04,1,0,"rep. de traccion de papel, destapado de cabezal, mant. $ 430.00 + iva",2018-02-14,11:10:53,3,S,2018-02-14,,430.0
80,483,50,U62700C1N287967,MANT. Y REV GRAL.,,2018-02-17,10:16:43,1,0,"MANCHAS EN LA IMPRESION. RODILLO DE CALOR. FIN DE VIDA. RECUBRIR PROXIMAMENTE.   

MANTENIMIENTO. $ 480,00 + IVA",2018-02-22,14:13:51,3,S,2018-02-22,,480.0
82,70,38,8p27bacq500539l,PRENDE Y SE APAGA SOLA,,2017-12-01,12:08:15,1,0,fuente (cambio ) $ 680.00,2018-02-14,11:11:48,3,S,2018-02-14,,680.0
83,484,187,wbgk157221,CALIDAD EN IMPRESION,,2018-02-17,10:56:06,1,0,$ 250.00 + IVA.,2018-02-22,14:22:43,3,S,2018-02-22,,250.0
85,75,51,5cd2389yds,VENTILADOR,eliminador con cable.,2017-12-02,12:30:01,1,0,"mantenimiento ventilador, rep. de bisagras. $ 660.00",2018-02-14,11:13:42,3,S,2018-02-14,,660.0
87,72,48,u63085g4n811610,NO PRENDE,TN,2017-12-01,12:55:11,1,0,"cambio de fuente, serv. de mano de obra $ 790.00",2018-02-14,11:12:29,3,S,2018-02-14,,790.0
89,486,191,510J92,,,2018-02-19,09:03:58,1,0,$ 400.00,2018-02-22,13:59:16,3,S,2018-02-22,,400.0
90,74,50,216166,RESPALDAR USUARIO ´,,2017-12-01,16:32:15,1,0,servicio $ 350.00,2018-02-14,11:13:11,3,S,2018-02-14,,350.0
91,76,51,99132922q,ELIM C/CABLE   PUERTOS USB,,2017-12-02,12:34:12,1,0,rep. de puertos usb. $ 530.00,2018-02-14,11:14:00,3,S,2018-02-14,,530.0
92,77,5,se8y020421,ERROR ATASCO PAPELK,,2017-12-04,09:13:29,1,0,sincronizado de mecanismo de traccion de papel. destapado de cabezal y servicio $ 480.00 + iva,2018-02-14,11:14:35,3,S,2018-02-14,,480.0
94,78,52,cnd7342lv3,NO PRENDE,,2017-12-04,12:42:29,1,0,"adaptador $ 595,00",2018-02-14,11:14:55,3,S,2018-02-14,,595.0
95,82,33,4b0933p12470,,,2017-12-05,08:52:18,1,0,"CAMBIO DE BATERIA 12V 7AH, SERVICIO $ 450,00 + IVA",2018-02-13,13:05:24,3,S,2018-02-14,,469.0
96,83,33,cnfb013215,ATORA HOJAS,,2017-12-05,08:53:10,1,0,"ELECTROIMAN DEL TRACTOR DE PAPEL $
MANTENIMIENTO $480+IVA
EL EQUIPO INGRESO EL DIA 05/12/2017 YA TIENE CASI EL AÑO EN EL TALLER FECHA DE NOTA: 10/11/2018",2018-11-02,11:59:46,3,S,2019-08-05,,4553.0
97,487,192,CNU93028R5,FORMATEO SIN RESPALDO.  CHECAR SI PUEDE CON MAS CAPACIDAD. ANTIVIRUS . WINDOWS 10 LO PODRA ?ACTUALIZAR EL SISTEMA OPERATIVO.,ELIMINADOR SIN CABLE,2018-02-19,09:09:38,1,0,"TRAE 1GB, DDR2, 800 MHZ, SOPORTA 2GB, SOLO TRAE UN SLOT. NO SOPORTA WINDOWS 10. 


ENTREGADA SIN REP. 
",2018-03-14,13:38:49,3,S,2018-03-14,,815.0
98,497,158,248064570,REV. GRAL.,,2018-02-20,09:36:35,1,0,"$ 260.00 + iva
",2018-04-04,13:32:38,3,S,2018-04-04,,260.0
99,660,239,cnd9180h5c,RAYA EN PANTALLA.,ELIMINADOR SIN CABLE,2018-03-22,12:32:52,1,0,"PANTALLA $ 1,200.00
",2018-04-24,12:57:50,3,S,2018-04-24,,201.0
100,89,57,fmnnqx1,no carga,,2017-12-05,14:15:45,1,0,"posible eliminador, no da voltaje. no tenemos para probar $ 300.00",2018-02-14,11:19:15,3,S,2018-02-14,,300.0
101,488,149,cnf74565st,"FORMATEAR SIN RESPADO. CHECAR SI PUEDE CON MAS CAPACIDAD. ANTIVIRUS. ACTUALIZAR EL OFFICE. WINDOWS 10, LO PODRA ?",SIN ELIMINADOR.,2018-02-19,09:12:40,1,0,"TRAE 1GB, 512MB, EN CADA SLOT. SOPORTA 4G, DDR2, 800MZ. 
SI SE PONEN LOS 4GB, SI SOPORTA WINDOWS 10

ADAPTADOR OTAC E50   $ 423,00 NETO
FORMATEO $ 300.00 

",2018-03-14,13:38:12,3,S,2018-03-14,,2106.0
102,79,53,012912,MARCA UN ERROR  /,"formatear w7,  sin respaldo.",2017-12-04,16:07:00,1,0,"disco duro malo. lo marca al arrancar. 
d.d. 1tb 783,00+ iva
servicio $ 400.00 + iva",2018-02-14,11:15:40,3,S,2018-02-14,,1184.0
103,80,17,z4vobkeb300940t,TONER,,2017-12-04,16:32:13,1,0,mantenimiento. $ 300.00,2018-02-14,11:15:57,3,S,2018-02-14,,300.0
104,84,54,cnf8g8pk30,IMPRIME CASI NEGRO TODO,,2017-12-05,09:05:56,1,0,"cartuchos de color agotados. 
( se requieren para diagnosticar el equipo )
no hay calibracion y el equipo se va a la funcion de impresion negro. 

4 cartuchos $ 490.00 c/u  neto.",2018-02-14,11:17:13,3,S,2018-02-14,,494.0
106,86,55,CGKA07070742/CGKA07110172,,S/ELIM NI ROLLO,2017-12-05,12:03:35,1,0,cambio de jack de energia. mantenimiento. $ 600.00 + iva,2018-02-14,11:18:35,3,S,2018-02-14,,600.0
107,90,58,N78,REVISON COMPLETA,"ELIMINADOR , PORTAROLLO.",2017-12-06,10:17:30,1,0,reparacion y servicio $ 200.00 + iva,2018-02-14,11:19:32,3,S,2018-02-14,,200.0
109,88,56,J3N955217,IMPRIME CON MANCHAS,,2017-12-05,12:34:42,1,0,$ 200.00 + IVA,2018-03-22,12:35:29,3,S,2018-03-22,,200.0
110,91,51,S100DVG8S1N0S56040AM,NO PRENDE,,2017-12-06,11:14:49,1,0,"SE REGRESA SIN REPARAR. 
NO HAY TARJETA MADRE. 


CORTO EN FUENE $ 1,740.00
",2018-03-28,12:31:02,3,S,2018-03-28,,741.0
112,93,17,9956z1l,,,2017-12-06,12:51:19,1,0,"mantenimiento $ 360.0 + iva
cartucho de toner y unidad de imagen con mala calidad. sustituir.",2018-02-14,11:20:32,3,S,2018-02-14,,360.0
113,94,17,cn55s6m03t05sf,,,2017-12-06,12:52:42,1,0,mantenimiento $ 680.00,2018-02-14,11:20:50,3,S,2018-02-14,,680.0
114,489,193,generico,sacar informacion y pasarla a una usb,,2018-02-19,11:44:25,1,0,"1 gb 16 gb  /   1  32 gb   $ 795,00",2018-03-06,13:02:34,3,S,2018-03-06,,845.0
118,490,40,VNB3L97971,,tn,2018-02-19,11:54:26,1,0,MANTENIMIENTO. $ 670.00 + IVA,2018-02-22,14:23:53,3,S,2018-02-22,,670.0
119,98,59,4384/5445/4392,REVISION GRAL.,TONER,2017-12-06,14:20:06,1,0,"funda del fusor, goma pick up charola 2, mant. $1,120.00",2018-02-14,11:22:16,3,S,2018-02-14,,123.0
120,491,194,cn22m432vj05hx,,ELIMINADOR CON CABLE,2018-02-19,12:02:58,1,0,"$ 100.00 
",2018-05-14,13:10:04,3,S,2018-05-14,,100.0
121,99,59,8222/3072,REV. GRAL.,TONR,2017-12-06,14:24:48,1,0,"funda del fusor, goma pick up charola 2 , mant. $1,120.00 
dos engranes del fusor,engranes del impulsor del fusor,funda de fusor, goma pick up charola 2

toner bajo 55a, muy pronto sustituir  $ 1630,0",2018-02-14,11:23:31,3,S,2018-02-14,,1810.0
123,100,59,4368/4894/4835,REV. GRAL.,,2017-12-06,14:26:55,1,0,"serv. de mantenimiento. rep. de traccion de papel. 
$ 630.00 + iva. 
",2018-02-28,11:19:33,3,S,2018-02-28,,630.0
125,101,60,s4vy228562,CALIDAD EN IMPRESION,,2017-12-06,14:30:32,1,0,destapado $ 200.00,2018-02-14,11:23:48,3,S,2018-02-14,,200.0
126,492,161,697aq0zaa077557,REV. GRAL.,PORTA-ROLLO,2018-02-19,13:24:15,1,0,$ 260.00 + IVA,2018-03-06,13:37:27,3,S,2018-03-06,,260.0
127,104,51,3b0832x52815,,,2017-12-07,09:11:35,1,0,una bateria 12v 7ah y servicio $ 430.00,2018-02-14,11:25:13,3,S,2018-02-14,,449.0
128,105,38,104uxwe09673,NO ENCIENDE,,2017-12-07,09:59:45,1,0,lamparas $ 450.00,2018-02-14,11:27:15,3,S,2018-02-14,,450.0
129,106,53,04692,SE APAGA. PUERTO USB NO LOS DETECTA,,2017-12-07,11:24:31,1,0,"fuente de poder y bateria del bios y mant. $ 520,00",2018-02-14,11:27:41,3,S,2018-02-14,,520.0
130,107,4,21tje08776,HOJAS CON IMPRESION MALA.,TN,2017-12-07,12:01:32,1,0,"rep. de adf, funda del fusor, unidad de imagen. mant. $930,00+ iva",2018-02-14,11:28:10,3,S,2018-02-14,,930.0
131,108,62,041065,,TN,2017-12-07,12:04:23,1,0,"demasiado toner derramado por todo el equipo. deposito de toner saturado. recarga de toner y revelador
buen mantenmiento. $ 1,155.00

ruidos muy fuertes.",2018-02-14,11:29:06,3,S,2018-02-14,,156.0
132,109,63,ub3y006023,CALIDAD EN IMPRESION,,2017-12-07,15:52:10,1,0,destapado y mantenimiento $ 500.00,2018-02-14,11:29:30,3,S,2018-02-14,,500.0
133,493,5,Z4XBBAGB400155Y,SE ATORAN HOJAS. IMPRESION UNA SI UNA EN BLANCO.,TN,2018-02-19,14:09:46,1,0,"REP. DE LA TRACCION DE PAPEL. MANT. $ 630,00 + IVA

CARTUCHO AMARILLO /AGOTADO. 
",2018-03-23,14:35:16,3,S,2018-03-23,,630.0
135,111,63,s3yk475439,ALMOHADILLAS,,2017-12-07,15:54:03,1,0,"cambio de almohadillas, mant. y reset. $ 400.00",2018-02-14,11:30:16,3,S,2018-02-14,,400.0
136,494,5,s3yk613981,QUITAR TODA LA TINTA.,,2018-02-19,14:11:10,1,0,"mantenimiento $ 450.00 + iva
retiro tinta.",2018-02-28,11:33:35,3,S,2018-02-28,,450.0
137,112,64,447405,NO PRENDE,,2017-12-07,16:15:03,1,0,"corto en la fuente inerna $ 1,400.00",2018-02-14,11:30:44,3,S,2018-02-14,,401.0
138,113,26,7501742150044,encima los numeros,,2017-12-07,16:23:21,1,0,$ 200.00,2018-02-14,11:31:45,3,S,2018-02-14,,200.0
139,495,195,XB254002K,,ELIMINADOR CON CABLE,2018-02-19,15:07:14,1,0,"CONEXION INTERNET.   ELIMINADOR MALO. 
$ 470.00 NETO. 
",2018-05-14,13:22:35,3,S,2018-05-14,,470.0
140,114,65,s25k283381,,,2017-12-07,18:42:44,1,0,destapado de cabezal. rep. traccion de papel. y esrv. $400.00,2018-02-14,11:32:14,3,S,2018-02-14,,400.0
141,115,66,0560942,ATORA LAS CINTAS.,4 CINTAS PARA PRUEBAS.,2017-12-08,10:15:04,1,0,revision de equipo $ 100.00 . cintas reparadas (4) cintas.,2018-02-14,11:32:43,3,S,2018-02-14,,104.0
142,496,196,81-0316306,,CINTA Y CORRECTOR,2018-02-19,15:10:53,1,0,$ 380.00 + iva,2018-02-28,11:18:41,3,S,2018-02-28,,380.0
143,116,67,3b0645x93890,REV. GRAL.,,2017-12-08,11:57:50,1,0,"cambio de bateria 12v 3.5ah, servicio $ 420.00 + iva",2018-02-14,11:33:16,3,S,2018-02-14,,435.5
144,117,68,202636,,,2017-12-08,16:43:17,1,0,entregada 26/06/2018,2018-07-09,11:57:17,3,S,2018-07-09,,2050.0
145,118,68,s2ny013375,,,2017-12-08,16:47:09,1,0,rep. de mecanismo . cambio de tarjeta logica y serv. $880.00,2018-02-14,11:33:39,3,S,2018-02-14,,880.0
147,120,70,zd7pbjbda000amn,"RODILLO DE ABAJO, NO JALA BIEN LAS HOJAS",TN,2017-12-11,11:04:53,1,0,"goma pick up, pad (rodillo) separador de papel, mant. $ 830,00",2018-02-14,11:37:14,3,S,2018-02-14,,830.0
148,121,70,cngxh36889,MALA IMPRESION,TN,2017-12-11,11:06:34,1,0,"fusor completo, ment. $ 480.,00",2018-02-14,11:37:52,3,S,2018-02-14,,480.0
151,124,72,my4acd62fp0400,REVISION GRAL.,ELIMINADOR . CARTUCHOS.,2017-12-12,12:23:36,1,0,buen mantenimiento. $ 480.00,2018-02-14,11:39:02,3,S,2018-02-14,,480.0
155,127,55,cnhc6bt0k5,,TNS,2017-12-13,12:13:24,1,0,"mantenimiento. $ 400.00 
toner deja muy pequeño velo.",2018-02-14,11:39:52,3,S,2018-02-14,,400.0
156,499,137,cn68ba606z06dm,TRACCION DE PAPEL.,"ELIMINADOR , CON CABLE",2018-02-20,10:34:49,1,0,"$ 620,0+ iva",2018-02-28,11:11:08,3,S,2018-02-28,,620.0
157,128,55,u61506m6j346568,,TN,2017-12-13,12:15:04,1,0,"rep.d e fusor, y mantenimiento. $ 730.00 
5-8dias habiles. 
tn-650 $ 367,00",2018-02-14,11:40:33,3,S,2018-02-14,,1760.0
159,130,10,41a041300260,"ESTABA PRENDIDA Y SE APAGO, Y YA NO PRENDE",ELIMINADOR SIN CABLE,2017-12-13,13:13:13,1,0,"rep. de tarjeta logica, servicio $1,250.00",2018-02-14,11:41:07,3,S,2018-02-14,,251.0
160,131,69,5CH1240DU6,,,2017-12-13,14:25:08,1,0,"disco duro 500gb, servicio $ 1,500.00 neto",2018-02-14,11:41:26,3,S,2018-02-14,,1001.0
161,132,75,ZB25942,HIZO CORTO EN JACK DE ENERGIA Y YA NO PRENDE,,2017-12-13,14:36:31,1,0,"fuente interna dañada $ 1,300.00 + iva",2018-02-13,13:17:56,3,S,2018-02-14,,301.0
163,134,77,076qbjdfa000dmh,ATORA HOJAS Y CHECAR TAPA FRONTAL QUE NO CIERRA BIEN,,2017-12-13,18:10:13,1,0,"rep. de traccion de papel y mant. $ 520,00",2018-02-14,11:44:43,3,S,2018-02-14,,520.0
164,135,78,s3yk474004,TRACCION PAPEL Y MANT,,2017-12-14,08:52:28,1,0,"serv. de mant. $ 480,00",2018-02-14,11:45:03,3,S,2018-02-14,,480.0
166,137,12,N723,BISAGRAS,,2017-12-14,10:24:39,1,0,"soldadura y rep. de bisagras. 
$ 480.00",2018-02-14,11:45:36,3,S,2018-02-14,,480.0
167,138,59,CNBGH20028,,tn,2017-12-14,13:44:31,1,0,"electroiman de la traccion de papel, rodillo de presion, funda del fusor, goma pick up (charola 2), mant. $1,430.00 + iva
",2018-02-28,11:25:48,3,S,2018-02-28,,433.0
168,139,59,CNJ1S88407/CNJ1N21386,,TN,2017-12-14,13:45:39,1,0,"FUNDA DEL FUSOR, GOMA PICK UP (CHAROLA 2), MANT. $1,120.00 + IVA C/U. 

CARTUCHO EN MAL ESTADO. SUSTITUIR. 
",2018-02-28,11:26:52,3,S,2018-02-28,,123.0
169,140,59,cnbsb07728,,TN,2017-12-14,13:47:55,1,0,"GOMA PICK UP, SERV. AL FUSOR, LIMPIEZA DE ESCANER, MANT. $ 830.00 + IVA
",2018-02-28,11:28:51,3,S,2018-02-28,,830.0
170,144,10,pf0xalj8PF9XB7907002,CARGAR EL OFFICE,ELIMINADOR SIN CABLE,2017-12-15,11:12:55,1,0,$ 150.00 + IVA,2018-02-13,13:06:07,3,S,2018-02-14,,150.0
172,142,59,49357386,,ELIMINADOR CON CABLE DE ENERGIA,2017-12-14,13:51:38,1,0,"SERV. DE MANT. $ 630,00 + IVA
",2018-02-28,11:29:11,3,S,2018-02-28,,630.0
173,143,80,074hb8gg6a004hp,TIRA TONER. ATORA HOJAS,TN,2017-12-14,14:32:35,1,0,mantenimietno. $ 360.00 + iva,2018-02-14,11:46:06,3,S,2018-02-14,,360.0
175,149,82,259537130237,NO ENTRA A WIND,,2017-12-16,11:01:09,1,0,"un ram 8gb, ddr3.  $ 1,096.00 neto.",2018-02-14,11:47:42,3,S,2018-02-14,,108.0
176,146,48,vnb3f15733,RUIDOS  C/TONER,,2017-12-15,14:28:37,1,0,cambio de engrane de traccion de papel. mant. $ 480.00,2018-02-14,11:46:45,3,S,2018-02-14,,480.0
180,151,83,65044047,MARCA ERROR,,2017-12-16,11:41:36,1,0,rep. de escaner y mant. $ 580.00 + iva,2018-02-14,11:48:01,3,S,2018-02-14,,580.0
181,152,84,50,FORMATEAR CON RESPALDO DE INFORMACION EN USB,ELIMINADOR SIN CABLE,2017-12-18,09:42:47,1,0,"memoria usb 8 gb  150.0 neto. 
adaptador $ 480..00 neto. 
servicio 400.00",2018-02-14,11:48:40,3,S,2018-02-14,,1038.0
182,501,197,953199,,,2018-02-20,16:12:23,1,0,serv. bateria 12v 7 ah 430.00 ,2018-05-22,12:36:18,3,S,2018-05-22,,449.0
183,588,40,vnb6y00570,PUERTO USB,TN,2018-03-07,09:48:24,1,0,"mant. $ 530.00 + iva
",2018-03-14,13:56:02,3,S,2018-03-14,,530.0
187,154,86,cndc855096,,TN,2017-12-18,12:23:20,1,0,"cambio de puntos contactos de cartuchos a tarjeta logica. 
servicio. $ 1,430.00",2018-02-14,11:55:56,3,S,2018-02-14,,431.0
189,155,33,cn11i3b21f05hx,,CARTUCHOS TINTAS,2017-12-18,12:43:24,1,0,cartuchos titna 122c / 122negro.,2018-02-14,11:56:16,3,S,2018-02-14,,244.0
