CODIGO,IDREPARACION,PRESUPUESTO,FECHA,ESTADO,CONTACTO,DETALLE,FECHA_AUD,HORA_AUD,IMPUESTOS,TOTAL,CODIMPUESTO,CLIENTE,FACTURADO,MONEDA,ENLACE,IDORDENSERVICIO
20,20,0,2019-01-14,1,,,2020-11-05,10:26:03.666000,0,0,1,2,N,1,,
43,43,0,2021-02-18,1,,,2024-10-18,20:06:49.846000,0,0,1,26,N,1,,
21,21,0,2018-02-14,1,,,2020-11-05,10:26:03.667000,0,0,1,6,N,1,,
22,22,0,2018-02-14,1,,,2020-11-05,10:26:03.669000,0,0,1,7,N,1,,
44,44,0,2018-02-14,1,,,2020-11-05,10:26:03.711000,0,0,1,27,N,1,,
23,23,0,2018-02-14,1,,,2020-11-05,10:26:03.670000,0,0,1,8,N,1,,
24,24,0,2018-01-31,1,,,2020-11-05,10:26:03.671000,0,0,1,9,N,1,,
45,45,0,2018-02-14,1,,,2020-11-05,10:26:03.715000,0,0,1,28,N,1,,
25,25,0,2018-02-14,1,,,2020-11-05,10:26:03.672000,0,0,1,10,N,1,,
26,26,0,2018-02-14,1,,,2020-11-05,10:26:03.679000,0,0,1,11,N,1,,
46,46,,,1,,,2020-11-05,10:26:03.716000,,,,28,N,,,
27,27,0,2018-02-14,1,,,2020-11-05,10:26:03.680000,0,0,1,12,N,1,,
47,47,0,2018-02-14,1,,,2020-11-05,10:26:03.719000,0,0,1,29,N,1,,
48,48,0,2018-02-14,1,,,2020-11-05,10:26:03.720000,0,0,1,30,N,1,,
49,49,0,2018-02-14,1,,,2020-11-05,10:26:03.717000,0,0,1,31,N,1,,
52,52,0,2018-01-31,1,,,2020-11-05,10:26:03.725000,0,0,1,33,N,1,,
54,54,0,2018-02-14,1,,,2020-11-05,10:26:03.727000,0,0,1,35,N,1,,
53,53,,,1,,,2020-11-05,10:26:03.725000,,,,34,N,,,
57,57,0,2018-02-14,1,,,2020-11-05,10:26:03.731000,0,0,1,38,N,1,,
56,56,0,2018-02-14,1,,,2020-11-05,10:26:03.729000,0,0,1,17,N,1,,
55,55,0,2018-10-05,1,,,2020-11-17,17:25:33.578000,0,0,1,35,N,1,,
60,60,0,2018-02-14,1,,,2020-11-05,10:26:03.736000,0,0,1,40,N,1,,
58,58,0,2018-02-14,1,,,2020-11-05,10:26:03.732000,0,0,1,38,N,1,,
63,63,0,2018-02-14,1,,,2020-11-05,10:26:03.740000,0,0,1,42,N,1,,
59,59,0,2018-02-14,1,,,2020-11-05,10:26:03.735000,0,0,1,39,N,1,,
61,61,0,2018-02-14,1,,,2020-11-05,10:26:03.737000,0,0,1,37,N,1,,
65,65,0,2018-02-14,1,,,2020-11-05,10:26:03.741000,0,0,1,43,N,1,,
62,62,0,2018-02-14,1,,,2020-11-05,10:26:03.738000,0,0,1,41,N,1,,
64,64,0,2018-02-14,1,,,2020-11-05,10:26:03.740000,0,0,1,34,N,1,,
66,66,0,2018-02-14,1,,,2020-11-05,10:26:03.743000,0,0,1,16,N,1,,
69,69,0,2018-02-14,1,,,2020-11-05,10:26:03.750000,0,0,1,46,N,1,,
67,67,0,2018-02-14,1,,,2020-11-05,10:26:03.744000,0,0,1,44,N,1,,
78,78,0,2018-02-14,1,,,2020-11-05,10:26:03.772000,0,0,1,52,N,1,,
68,68,0,2018-02-14,1,,,2020-11-05,10:26:03.745000,0,0,1,45,N,1,,
85,85,0,2018-02-14,1,,,2021-04-21,17:21:31.094000,0,0,1,55,N,1,,
70,70,0,2018-02-14,1,,,2020-11-05,10:26:03.753000,0,0,1,38,N,1,,
71,71,0,2018-02-14,1,,,2020-11-05,10:26:03.754000,0,0,1,47,N,1,,
79,79,0,2018-02-14,1,,,2020-11-05,10:26:03.783000,0,0,1,53,N,1,,
72,72,0,2018-02-14,1,,,2020-11-05,10:26:03.759000,0,0,1,48,N,1,,
90,90,0,2018-02-14,1,,,2020-11-05,10:26:03.789000,0,0,1,58,N,1,,
73,73,0,2018-02-14,1,,,2020-11-05,10:26:03.760000,0,0,1,49,N,1,,
80,80,0,2018-02-14,1,,,2020-11-05,10:26:03.784000,0,0,1,17,N,1,,
74,74,0,2018-02-14,1,,,2020-11-05,10:26:03.764000,0,0,1,50,N,1,,
86,86,0,2018-02-14,1,,,2020-11-05,10:26:03.787000,0,0,1,55,N,1,,
75,75,0,2018-02-14,1,,,2024-01-29,16:31:14.630000,0,0,1,51,N,1,,
81,81,0,2018-02-14,1,,,2022-05-30,14:05:37.092000,0,0,1,33,N,1,,
76,76,0,2018-02-14,1,,,2020-11-05,10:26:03.767000,0,0,1,51,N,1,,
89,89,0,2018-02-14,1,,,2020-11-05,10:26:03.779000,0,0,1,57,N,1,,
77,77,0,2018-02-14,1,,,2020-11-05,10:26:03.768000,0,0,1,5,N,1,,
95,95,0,2018-02-14,1,,,2020-11-05,10:26:03.805000,0,0,1,41,N,1,,
82,82,0,2018-02-13,1,,,2020-11-05,10:26:03.774000,0,0,1,33,N,1,,
91,91,0,2018-03-01,1,,,2020-11-05,10:26:03.793000,0,0,1,51,N,1,,
83,83,0,2018-11-02,1,,,2020-11-05,10:26:03.775000,0,0,1,33,N,1,,
102,102,0,2018-02-14,1,,,2020-11-05,10:26:03.815000,0,0,1,61,N,1,,
84,84,0,2018-02-14,1,,,2022-07-27,16:34:07.924000,0,0,1,54,N,1,,
92,92,0,2018-02-14,1,,,2020-11-05,10:26:03.796000,0,0,1,17,N,1,,
87,87,0,2018-02-14,1,,,2020-11-05,10:26:03.791000,0,0,1,55,N,1,,
485,485,,,1,,,2020-11-05,10:26:03.758000,,,,4,N,,,
88,88,0,2018-03-22,1,,,2020-11-05,10:26:03.793000,0,0,1,56,N,1,,
93,93,0,2018-02-14,1,,,2020-11-05,10:26:03.800000,0,0,1,17,N,1,,
94,94,0,2018-02-14,1,,,2020-11-05,10:26:03.802000,0,0,1,17,N,1,,
96,96,,,1,,,2024-03-22,12:00:42.629000,,,,41,N,,,
97,97,0,2018-02-14,1,,,2020-11-05,10:26:03.806000,0,0,1,59,N,1,,
98,98,0,2018-02-14,1,,,2020-11-05,10:26:03.808000,0,0,1,59,N,1,,
99,99,0,2018-02-14,1,,,2020-11-05,10:26:03.812000,0,0,1,59,N,1,,
100,100,0,2018-02-28,1,,,2020-11-05,10:26:03.816000,0,0,1,59,N,1,,
101,101,0,2018-02-14,1,,,2023-08-28,12:46:14.092000,0,0,1,60,N,1,,
486,486,,,1,,,2020-11-05,10:26:03.761000,,,,191,N,,,
103,103,0,2018-02-14,1,,,2020-11-05,10:26:03.817000,0,0,1,51,N,1,,
109,109,0,2018-02-14,1,,,2020-11-05,10:26:03.827000,0,0,1,63,N,1,,
104,104,0,2018-02-14,1,,,2020-11-05,10:26:03.823000,0,0,1,51,N,1,,
113,113,0,2018-02-14,1,,,2020-11-05,10:26:03.828000,0,0,1,26,N,1,,
105,105,0,2018-02-14,1,,,2020-11-05,10:26:03.824000,0,0,1,38,N,1,,
110,110,0,2018-02-14,1,,,2020-11-05,10:26:03.827000,0,0,1,63,N,1,,
106,106,0,2018-02-14,1,,,2020-11-05,10:26:03.824000,0,0,1,53,N,1,,
117,117,0,2018-07-09,1,,,2020-11-05,10:26:03.833000,0,0,1,68,N,1,,
107,107,0,2018-02-14,1,,,2020-11-05,10:26:03.826000,0,0,1,4,N,1,,
111,111,0,2018-02-14,1,,,2020-11-05,10:26:03.827000,0,0,1,63,N,1,,
108,108,0,2018-02-14,1,,,2020-11-05,10:26:03.826000,0,0,1,62,N,1,,
114,114,0,2018-02-14,1,,,2020-11-05,10:26:03.829000,0,0,1,65,N,1,,
112,112,0,2018-02-14,1,,,2020-11-05,10:26:03.827000,0,0,1,64,N,1,,
124,124,0,2018-02-14,1,,,2020-11-05,10:26:03.850000,0,0,1,72,N,1,,
115,115,0,2018-02-14,1,,,2020-11-05,10:26:03.829000,0,0,1,66,N,1,,
118,118,0,2018-02-14,1,,,2020-11-05,10:26:03.834000,0,0,1,68,N,1,,
116,116,0,2018-02-14,1,,,2020-11-05,10:26:03.829000,0,0,1,67,N,1,,
126,126,0,2018-11-02,1,,,2020-11-05,10:26:03.852000,0,0,1,74,N,1,,
119,119,0,2018-02-14,1,,,2020-11-05,10:26:03.836000,0,0,1,69,N,1,,
125,125,0,2018-02-14,1,,,2020-11-05,10:26:03.854000,0,0,1,73,N,1,,
120,120,0,2018-02-14,1,,,2020-11-05,10:26:03.838000,0,0,1,70,N,1,,
127,127,0,2018-02-14,1,,,2020-11-05,10:26:03.857000,0,0,1,55,N,1,,
121,121,0,2018-02-14,1,,,2020-11-05,10:26:03.841000,0,0,1,70,N,1,,
131,131,0,2018-02-14,1,,,2020-11-05,10:26:03.863000,0,0,1,69,N,1,,
128,128,0,2018-02-14,1,,,2020-12-03,14:46:36.023000,0,0,1,55,N,1,,
122,122,0,2018-02-14,1,,,2020-11-05,10:26:03.845000,0,0,1,71,N,1,,
133,133,0,2018-02-14,1,,,2020-11-05,10:26:03.868000,0,0,1,76,N,1,,
123,123,0,2018-02-14,1,,,2020-11-05,10:26:03.847000,0,0,1,33,N,1,,
129,129,0,2018-02-14,1,,,2020-11-05,10:26:03.861000,0,0,1,20,N,1,,
132,132,0,2018-02-13,1,,,2020-11-05,10:26:03.866000,0,0,1,75,N,1,,
130,130,0,2018-02-14,1,,,2020-11-05,10:26:03.862000,0,0,1,10,N,1,,
136,136,0,2018-02-14,1,,,2020-11-05,10:26:03.875000,0,0,1,79,N,1,,
134,134,0,2018-02-14,1,,,2020-11-05,10:26:03.871000,0,0,1,77,N,1,,
144,144,0,2018-02-13,1,,,2020-11-05,10:26:03.882000,0,0,1,10,N,1,,
135,135,0,2018-02-14,1,,,2020-11-05,10:26:03.873000,0,0,1,78,N,1,,
137,137,0,2018-02-14,1,,,2020-11-05,10:26:03.876000,0,0,1,12,N,1,,
145,145,0,2018-02-14,1,,,2020-11-05,10:26:03.892000,0,0,1,48,N,1,,
138,138,0,2018-02-28,1,,,2020-11-05,10:26:03.877000,0,0,1,59,N,1,,
149,149,0,2018-02-14,1,,,2020-11-05,10:26:03.895000,0,0,1,82,N,1,,
139,139,0,2018-02-28,1,,,2020-11-05,10:26:03.878000,0,0,1,59,N,1,,
146,146,0,2018-02-14,1,,,2020-11-05,10:26:03.897000,0,0,1,48,N,1,,
140,140,0,2018-02-28,1,,,2020-11-05,10:26:03.881000,0,0,1,59,N,1,,
153,153,0,2018-02-14,1,,,2020-11-05,10:26:03.909000,0,0,1,85,N,1,,
141,141,0,2018-02-28,1,,,2020-11-05,10:26:03.886000,0,0,1,59,N,1,,
147,147,0,2018-02-14,1,,,2020-11-05,10:26:03.900000,0,0,1,48,N,1,,
142,142,0,2018-02-28,1,,,2020-11-05,10:26:03.888000,0,0,1,59,N,1,,
150,150,0,2018-02-13,1,,,2020-11-05,10:26:03.905000,0,0,1,83,N,1,,
143,143,0,2018-02-14,1,,,2020-11-05,10:26:03.890000,0,0,1,80,N,1,,
148,148,0,2018-02-13,1,,,2020-11-05,10:26:03.903000,0,0,1,81,N,1,,
165,165,0,2018-02-14,1,,,2020-11-05,10:26:03.915000,0,0,1,90,N,1,,
151,151,0,2018-02-14,1,,,2020-11-05,10:26:03.906000,0,0,1,83,N,1,,
152,152,0,2018-02-14,1,,,2020-11-05,10:26:03.908000,0,0,1,84,N,1,,
476,476,0,2018-02-22,1,,,2020-11-05,10:26:03.718000,0,0,1,182,N,1,,
154,154,0,2018-02-14,1,,,2020-11-05,10:26:03.914000,0,0,1,86,N,1,,
180,180,0,2018-02-14,1,,,2020-11-05,10:26:03.946000,0,0,1,98,N,1,,
155,155,0,2018-02-14,1,,,2020-11-05,10:26:03.919000,0,0,1,33,N,1,,
166,166,0,2017-12-20,1,,,2020-11-05,10:26:03.923000,0,0,1,91,N,1,,
156,156,0,2018-11-02,1,,,2020-11-05,10:26:03.920000,0,0,1,33,N,1,,
181,181,0,2018-02-14,1,,,2020-11-05,10:26:03.950000,0,0,1,99,N,1,,
157,157,0,2017-12-18,1,,,2020-11-05,10:26:03.920000,0,0,1,33,N,1,,
189,189,0,2018-02-14,1,,,2020-11-05,10:26:03.958000,0,0,1,63,N,1,,
182,182,0,2018-02-14,1,,,2020-11-05,10:26:03.953000,0,0,1,88,N,1,,
194,194,0,2018-02-14,1,,,2020-11-05,10:26:03.972000,0,0,1,4,N,1,,
183,183,0,2018-02-14,1,,,2020-11-05,10:26:03.955000,0,0,1,5,N,1,,
200,200,,,1,,,2020-11-05,10:26:03.994000,,,,102,N,,,
158,158,0,2018-03-06,1,,,2020-11-05,10:26:03.920000,0,0,1,51,N,1,,
184,184,,,1,,,2020-11-05,10:26:03.959000,,,,58,N,,,
167,167,0,2018-01-31,1,,,2020-11-05,10:26:03.925000,0,0,1,92,N,1,,
159,159,0,2018-02-14,1,,,2020-11-05,10:26:03.920000,0,0,1,51,N,1,,
195,195,0,2018-02-14,1,,,2020-11-05,10:26:03.974000,0,0,1,4,N,1,,
160,160,0,2018-03-22,1,,,2020-11-05,10:26:03.922000,0,0,1,51,N,1,,
168,168,0,2018-02-13,1,,,2020-11-05,10:26:03.928000,0,0,1,28,N,1,,
161,161,0,2018-02-14,1,,,2020-11-05,10:26:03.922000,0,0,1,80,N,1,,
171,171,0,2018-02-14,1,,,2020-11-05,10:26:03.926000,0,0,1,94,N,1,,
162,162,0,2018-02-14,1,,,2020-11-05,10:26:03.922000,0,0,1,87,N,1,,
169,169,0,2018-01-31,1,,,2020-11-05,10:26:03.929000,0,0,1,28,N,1,,
163,163,0,2018-02-14,1,,,2020-11-05,10:26:03.922000,0,0,1,82,N,1,,
185,185,0,2018-02-14,1,,,2020-11-05,10:26:03.960000,0,0,1,55,N,1,,
164,164,0,2018-02-14,1,,,2020-11-05,10:26:03.912000,0,0,1,88,N,1,,
170,170,0,2018-02-14,1,,,2020-11-05,10:26:03.932000,0,0,1,93,N,1,,
172,172,0,2018-02-14,1,,,2020-11-05,10:26:03.933000,0,0,1,95,N,1,,
186,186,0,2018-02-14,1,,,2020-11-05,10:26:03.962000,0,0,1,83,N,1,,
196,196,0,2018-02-13,1,,,2020-11-05,10:26:03.977000,0,0,1,103,N,1,,
187,187,0,2018-02-14,1,,,2020-11-05,10:26:03.965000,0,0,1,100,N,1,,
201,201,0,2018-02-14,1,,,2020-11-05,10:26:03.997000,0,0,1,102,N,1,,
173,173,0,2018-02-14,1,,,2020-11-05,10:26:03.923000,0,0,1,47,N,1,,
188,188,0,2018-02-14,1,,,2020-11-05,10:26:03.968000,0,0,1,100,N,1,,
174,174,,,1,,,2020-11-05,10:26:03.935000,,,,96,N,,,
197,197,0,2018-02-13,1,,,2020-11-05,10:26:03.979000,0,0,1,103,N,1,,
175,175,0,2018-02-14,1,,,2020-11-05,10:26:03.937000,0,0,1,97,N,1,,
190,190,0,2018-02-14,1,,,2020-11-05,10:26:03.963000,0,0,1,77,N,1,,
176,176,0,2018-02-14,1,,,2020-11-05,10:26:03.939000,0,0,1,97,N,1,,
177,177,,,1,,,2020-11-05,10:26:03.941000,,,,97,N,,,
191,191,0,2018-01-31,1,,,2020-11-05,10:26:03.970000,0,0,1,101,N,1,,
178,178,0,2018-02-14,1,,,2020-11-05,10:26:03.943000,0,0,1,97,N,1,,
198,198,0,2018-02-14,1,,,2020-11-05,10:26:03.980000,0,0,1,4,N,1,,
179,179,0,2018-02-14,1,,,2020-11-05,10:26:03.944000,0,0,1,20,N,1,,
192,192,0,2018-02-14,1,,,2020-11-05,10:26:03.970000,0,0,1,38,N,1,,
202,202,0,2018-02-14,1,,,2020-11-05,10:26:03.998000,0,0,1,104,N,1,,
193,193,,,1,,,2018-10-15,13:46:46.944000,,,,102,N,,,
203,203,0,2018-02-14,1,,,2021-06-02,13:19:47.752000,0,0,1,104,N,1,,
199,199,0,2018-11-02,1,,,2020-11-05,10:26:03.975000,0,0,1,4,N,1,,
204,204,0,2018-02-13,1,,,2022-03-08,12:08:19.380000,0,0,1,105,N,1,,
205,205,,,1,,,2020-11-05,10:26:04.002000,,,,26,N,,,
235,235,0,2018-02-14,1,,,2020-11-05,10:26:04.033000,0,0,1,5,N,1,,
206,206,0,2018-02-14,1,,,2023-07-20,16:07:00.770000,0,0,1,106,N,1,,
243,243,0,2018-02-14,1,,,2020-11-05,10:26:04.054000,0,0,1,98,N,1,,
207,207,0,2018-02-14,1,,,2020-11-05,10:26:04.003000,0,0,1,107,N,1,,
246,246,0,2018-02-14,1,,,2020-11-05,10:26:04.081000,0,0,1,11,N,1,,
208,208,0,2018-02-14,1,,,2020-11-05,10:26:04.005000,0,0,1,31,N,1,,
244,244,0,2018-02-14,1,,,2020-11-05,10:26:04.055000,0,0,1,48,N,1,,
209,209,0,2018-01-31,1,,,2020-11-05,10:26:04.005000,0,0,1,108,N,1,,
253,253,0,2018-02-14,1,,,2020-11-05,10:26:04.090000,0,0,1,17,N,1,,
210,210,0,2018-02-14,1,,,2020-11-05,10:26:04.006000,0,0,1,17,N,1,,
221,221,0,2018-02-14,1,,,2020-11-05,10:26:04.010000,0,0,1,37,N,1,,
211,211,0,2018-02-14,1,,,2020-11-05,10:26:04.009000,0,0,1,83,N,1,,
245,245,0,2018-02-14,1,,,2020-11-05,10:26:04.050000,0,0,1,17,N,1,,
212,212,0,2018-02-14,1,,,2020-11-05,10:26:04.008000,0,0,1,109,N,1,,
247,247,0,2018-02-14,1,,,2020-11-05,10:26:04.082000,0,0,1,122,N,1,,
213,213,0,2018-02-14,1,,,2020-11-05,10:26:04.011000,0,0,1,110,N,1,,
214,214,0,2018-02-14,1,,,2022-12-07,11:38:39.905000,0,0,1,4,N,1,,
248,248,0,2018-02-14,1,,,2020-11-05,10:26:04.085000,0,0,1,95,N,1,,
215,215,0,2018-02-14,1,,,2022-05-17,16:26:26.276000,0,0,1,111,N,1,,
254,254,0,2018-02-14,1,,,2020-11-05,10:26:04.093000,0,0,1,120,N,1,,
216,216,0,2018-02-14,1,,,2020-11-05,10:26:04.021000,0,0,1,112,N,1,,
249,249,0,2018-02-14,1,,,2020-11-05,10:26:04.087000,0,0,1,123,N,1,,
217,217,0,2018-02-14,1,,,2020-11-05,10:26:04.022000,0,0,1,112,N,1,,
218,218,0,2018-06-21,1,,,2020-11-05,10:26:04.024000,0,0,1,113,N,1,,
255,255,0,2018-02-14,1,,,2020-11-05,10:26:04.095000,0,0,1,77,N,1,,
219,219,0,2018-01-31,1,,,2020-11-05,10:26:04.026000,0,0,1,113,N,1,,
250,250,0,2018-01-31,1,,,2020-11-05,10:26:04.086000,0,0,1,124,N,1,,
220,220,0,2018-02-14,1,,,2020-11-05,10:26:04.028000,0,0,1,4,N,1,,
251,251,0,2018-02-14,1,,,2020-11-05,10:26:04.088000,0,0,1,125,N,1,,
222,222,0,2018-02-14,1,,,2020-11-05,10:26:04.018000,0,0,1,21,N,1,,
223,223,0,2018-02-14,1,,,2020-11-05,10:26:04.027000,0,0,1,21,N,1,,
252,252,0,2018-02-14,1,,,2020-11-05,10:26:04.092000,0,0,1,126,N,1,,
224,224,0,2018-02-14,1,,,2020-11-05,10:26:04.029000,0,0,1,114,N,1,,
225,225,,,1,,,2020-11-05,10:26:04.031000,,,,114,N,,,
226,226,,,1,,,2020-11-05,10:26:04.032000,,,,80,N,,,
227,227,0,2018-02-14,1,,,2020-11-05,10:26:04.035000,0,0,1,115,N,1,,
228,228,,,1,,,2020-11-05,10:26:04.037000,,,,116,N,,,
229,229,,,1,,,2020-04-16,12:19:05.535000,,,,117,N,,,
230,230,,,1,,,2018-01-04,12:56:38.790000,,,,117,N,,,
231,231,,,1,,,2018-01-04,12:59:29.650000,,,,117,N,,,
232,232,0,2018-02-14,1,,,2020-11-05,10:26:04.040000,0,0,1,118,N,1,,
233,233,0,2018-02-14,1,,,2020-11-05,10:26:04.042000,0,0,1,25,N,1,,
234,234,0,2018-02-14,1,,,2020-11-05,10:26:04.043000,0,0,1,68,N,1,,
236,236,0,2018-02-14,1,,,2020-11-05,10:26:04.039000,0,0,1,119,N,1,,
237,237,0,2018-02-14,1,,,2020-11-05,10:26:04.044000,0,0,1,120,N,1,,
238,238,0,2018-02-14,1,,,2020-11-05,10:26:04.046000,0,0,1,121,N,1,,
239,239,0,2018-02-14,1,,,2024-06-08,12:46:38.686000,0,0,1,79,N,1,,
240,240,0,2018-02-14,1,,,2020-11-05,10:26:04.047000,0,0,1,79,N,1,,
241,241,0,2018-02-14,1,,,2020-11-05,10:26:04.048000,0,0,1,41,N,1,,
242,242,0,2018-02-14,1,,,2020-11-05,10:26:04.052000,0,0,1,41,N,1,,
256,256,0,2018-02-14,1,,,2020-11-05,10:26:04.095000,0,0,1,77,N,1,,
258,258,0,2018-02-14,1,,,2020-11-05,10:26:04.096000,0,0,1,127,N,1,,
257,257,0,2018-02-14,1,,,2020-11-05,10:26:04.097000,0,0,1,77,N,1,,
277,277,0,2018-02-14,1,,,2020-11-05,10:26:04.122000,0,0,1,133,N,1,,
259,259,0,2018-02-14,1,,,2020-11-05,10:26:04.097000,0,0,1,40,N,1,,
280,280,0,2018-11-02,1,,,2020-11-05,10:26:04.125000,0,0,1,134,N,1,,
260,260,0,2018-02-28,1,,,2020-11-05,10:26:04.098000,0,0,1,26,N,1,,
278,278,0,2018-02-14,1,,,2020-11-05,10:26:04.123000,0,0,1,83,N,1,,
261,261,0,2018-02-28,1,,,2020-11-05,10:26:04.100000,0,0,1,26,N,1,,
281,281,0,2018-02-14,1,,,2020-11-05,10:26:04.125000,0,0,1,135,N,1,,
262,262,0,2018-02-14,1,,,2020-11-05,10:26:04.102000,0,0,1,4,N,1,,
279,279,0,2018-01-31,1,,,2020-11-05,10:26:04.125000,0,0,1,83,N,1,,
263,263,0,2018-01-31,1,,,2020-11-05,10:26:04.110000,0,0,1,4,N,1,,
289,289,0,2018-02-14,1,,,2020-11-26,12:06:02.614000,0,0,1,136,N,1,,
264,264,0,2018-02-14,1,,,2020-11-05,10:26:04.099000,0,0,1,4,N,1,,
302,302,,,1,,,2020-11-05,10:26:04.153000,,,,33,N,,,
265,265,0,2018-02-14,1,,,2020-11-05,10:26:04.110000,0,0,1,33,N,1,,
282,282,0,2018-02-14,1,,,2020-11-05,10:26:04.126000,0,0,1,135,N,1,,
266,266,0,2018-02-14,1,,,2020-11-05,10:26:04.110000,0,0,1,128,N,1,,
290,290,,,1,,,2020-11-05,10:26:04.135000,,,,51,N,,,
267,267,0,2018-02-14,1,,,2020-11-05,10:26:04.113000,0,0,1,33,N,1,,
283,283,0,2018-02-14,1,,,2020-11-05,10:26:04.127000,0,0,1,135,N,1,,
268,268,,,1,,,2019-10-30,16:24:12.328000,,,,33,N,,,
294,294,0,2018-02-13,1,,,2020-11-05,10:26:04.141000,0,0,1,121,N,1,,
269,269,0,2018-02-14,1,,,2020-11-05,10:26:04.115000,0,0,1,129,N,1,,
284,284,0,2018-02-14,1,,,2020-11-05,10:26:04.128000,0,0,1,33,N,1,,
270,270,0,2018-02-14,1,,,2020-11-05,10:26:04.112000,0,0,1,130,N,1,,
291,291,0,2018-02-14,1,,,2020-11-05,10:26:04.135000,0,0,1,41,N,1,,
271,271,0,2018-02-01,1,,,2020-11-05,10:26:04.114000,0,0,1,77,N,1,,
285,285,0,2018-01-31,1,,,2020-11-05,10:26:04.129000,0,0,1,33,N,1,,
272,272,0,2018-02-14,1,,,2020-11-05,10:26:04.117000,0,0,1,131,N,1,,
512,512,0,2018-03-06,1,,,2020-11-05,10:26:04.009000,0,0,1,23,N,1,,
273,273,0,2018-01-31,1,,,2020-11-05,10:26:04.118000,0,0,1,99,N,1,,
286,286,0,2018-02-14,1,,,2020-11-05,10:26:04.130000,0,0,1,33,N,1,,
274,274,0,2018-02-13,1,,,2020-11-05,10:26:04.120000,0,0,1,99,N,1,,
292,292,0,2018-02-14,1,,,2020-11-05,10:26:04.137000,0,0,1,137,N,1,,
275,275,0,2018-01-31,1,,,2020-11-05,10:26:04.119000,0,0,1,111,N,1,,
287,287,0,2018-02-14,1,,,2020-11-05,10:26:04.131000,0,0,1,33,N,1,,
276,276,0,2018-02-14,1,,,2020-11-05,10:26:04.121000,0,0,1,132,N,1,,
