IDREPARACION,FECHA,HORA,ESTADO
53,2017-11-27,17:27:20.028000,1
54,2017-11-27,18:04:49.097000,1
55,2017-11-27,18:10:00.519000,1
56,2017-11-28,10:22:17.510000,1
57,2017-11-28,14:48:07.086000,1
58,2017-11-28,14:59:07.283000,1
59,2017-11-28,15:24:16.025000,1
60,2017-11-28,17:01:53.469000,1
61,2017-11-28,17:06:18.606000,1
62,2017-11-28,18:11:09.800000,1
63,2017-11-29,09:37:44.626000,1
64,2017-11-29,10:19:05.875000,1
65,2017-11-29,14:51:10.105000,1
66,2017-11-30,09:57:07.703000,1
67,2017-11-30,10:16:06.738000,1
68,2017-11-30,14:45:52.061000,1
69,2017-12-01,11:55:32.734000,1
70,2017-12-01,12:09:23.900000,1
71,2017-12-01,12:45:01.119000,1
72,2017-12-01,12:57:46.971000,1
73,2017-12-01,13:01:38.236000,1
74,2017-12-01,16:35:32.046000,1
75,2017-12-02,12:34:03.048000,1
76,2017-12-02,12:38:06.510000,1
77,2017-12-04,09:14:53.543000,1
78,2017-12-04,12:43:54.449000,1
4,2017-12-04,12:53:29.433000,3
5,2017-12-04,12:54:05.402000,3
14,2017-12-04,12:54:38.029000,3
79,2017-12-04,16:09:53.853000,1
80,2017-12-04,16:32:59.680000,1
81,2017-12-05,08:51:31.574000,1
82,2017-12-05,08:53:05.383000,1
83,2017-12-05,08:54:12.494000,1
84,2017-12-05,09:08:19.273000,1
85,2017-12-05,12:05:05.019000,1
86,2017-12-05,12:05:54.032000,1
87,2017-12-05,12:06:48.043000,1
88,2017-12-05,12:36:50.557000,1
89,2017-12-05,14:16:33.395000,1
90,2017-12-06,10:18:38.979000,1
91,2017-12-06,11:17:11.325000,1
92,2017-12-06,12:51:14.024000,1
93,2017-12-06,12:52:37.454000,1
94,2017-12-06,12:54:54.479000,1
95,2017-12-06,13:06:11.688000,1
96,2017-12-06,13:07:56.817000,1
97,2017-12-06,14:18:22.618000,1
98,2017-12-06,14:22:18.683000,1
99,2017-12-06,14:25:36.973000,1
100,2017-12-06,14:28:04.458000,1
101,2017-12-06,14:31:20.189000,1
102,2017-12-06,17:19:08.548000,1
103,2017-12-07,09:07:45.001000,1
104,2017-12-07,09:13:29.514000,1
105,2017-12-07,10:02:08.107000,1
106,2017-12-07,11:25:45.070000,1
107,2017-12-07,12:03:23.448000,1
108,2017-12-07,12:06:37.908000,1
109,2017-12-07,15:52:49.957000,1
110,2017-12-07,15:53:45.116000,1
111,2017-12-07,15:55:02.034000,1
112,2017-12-07,16:15:55.982000,1
113,2017-12-07,16:23:52.531000,1
114,2017-12-07,18:44:24.790000,1
115,2017-12-08,10:16:33.063000,1
116,2017-12-08,11:58:31.992000,1
117,2017-12-08,16:43:51.821000,1
118,2017-12-08,16:47:55.289000,1
119,2017-12-11,10:00:25.370000,1
120,2017-12-11,11:06:25.573000,1
121,2017-12-11,11:07:41.883000,1
122,2017-12-11,13:51:12.514000,1
123,2017-12-11,13:53:36.554000,1
124,2017-12-12,12:25:42.579000,1
125,2017-12-12,13:26:42.687000,1
126,2017-12-12,18:12:10.149000,1
127,2017-12-13,12:13:58.161000,1
128,2017-12-13,12:18:45.484000,1
129,2017-12-13,12:22:28.036000,1
130,2017-12-13,13:14:24.061000,1
131,2017-12-13,14:25:38.340000,1
132,2017-12-13,14:38:19.922000,1
133,2017-12-13,17:10:52.665000,1
134,2017-12-13,18:13:04.949000,1
135,2017-12-14,08:54:48.197000,1
136,2017-12-14,10:14:46.548000,1
137,2017-12-14,10:29:06.477000,1
138,2017-12-14,13:45:28.960000,1
139,2017-12-14,13:47:14.133000,1
140,2017-12-14,13:48:53.954000,1
141,2017-12-14,13:50:46.648000,1
142,2017-12-14,13:52:56.786000,1
143,2017-12-14,14:33:53.680000,1
144,2017-12-15,11:13:33.194000,1
145,2017-12-15,14:26:36.860000,1
146,2017-12-15,14:29:53.344000,1
147,2017-12-15,14:31:04.345000,1
148,2017-12-15,14:54:50.347000,1
149,2017-12-16,11:01:57.951000,1
150,2017-12-16,11:41:31.655000,1
151,2017-12-16,11:42:40.057000,1
152,2017-12-18,09:44:58.805000,1
153,2017-12-18,10:36:01.960000,1
154,2017-12-18,12:24:18.722000,1
155,2017-12-18,12:44:47.714000,1
156,2017-12-18,12:45:53.337000,1
157,2017-12-18,12:48:33.117000,1
157,2017-12-18,12:56:02.760000,3
158,2017-12-18,13:30:52.830000,1
159,2017-12-18,13:31:40.075000,1
160,2017-12-18,13:33:02.732000,1
161,2017-12-18,14:06:39.437000,1
162,2017-12-18,15:02:31.709000,1
163,2017-12-18,16:40:33.809000,1
164,2017-12-18,18:48:36.042000,1
165,2017-12-20,09:15:41.839000,1
166,2017-12-20,09:19:06.142000,1
167,2017-12-20,09:22:46.446000,1
168,2017-12-20,09:25:37.434000,1
169,2017-12-20,09:28:14.727000,1
170,2017-12-20,10:27:12.932000,1
171,2017-12-20,12:45:56.842000,1
172,2017-12-20,12:50:49.974000,1
173,2017-12-20,17:28:36.307000,1
174,2017-12-21,09:14:11.988000,1
175,2017-12-21,09:20:44.815000,1
176,2017-12-21,09:22:51.167000,1
177,2017-12-21,09:25:35.856000,1
178,2017-12-21,09:28:22.661000,1
179,2017-12-21,14:12:59.660000,1
180,2017-12-21,15:24:26.193000,1
181,2017-12-21,16:38:26.808000,1
182,2017-12-21,18:14:26.475000,1
183,2017-12-22,09:03:35.388000,1
184,2017-12-22,10:08:37.618000,1
185,2017-12-22,12:07:03.791000,1
186,2017-12-22,13:00:07.583000,1
187,2017-12-22,14:15:27.878000,1
188,2017-12-22,14:16:40.160000,1
189,2017-12-26,13:12:41.167000,1
190,2017-12-27,11:50:50.906000,1
191,2017-12-27,16:19:55.414000,1
192,2017-12-28,08:50:25.516000,1
193,2017-12-28,08:57:08.319000,1
194,2017-12-28,10:01:36.224000,1
195,2017-12-28,10:06:56.739000,1
196,2017-12-28,10:29:13.512000,1
197,2017-12-28,10:32:04.211000,1
198,2017-12-28,10:37:28.696000,1
199,2017-12-28,11:50:12.527000,1
200,2017-12-28,11:53:24.277000,1
201,2017-12-28,12:07:48.236000,1
202,2017-12-29,13:58:05.700000,1
203,2017-12-29,13:59:16.824000,1
204,2017-12-29,15:11:39.088000,1
205,2018-01-02,12:24:02.821000,1
206,2018-01-02,12:36:47.494000,1
207,2018-01-02,12:55:19.484000,1
208,2018-01-02,13:38:20.796000,1
209,2018-01-02,14:45:32.763000,1
210,2018-01-02,16:28:28.706000,1
211,2018-01-02,16:41:18.669000,1
212,2018-01-03,10:10:44.183000,1
213,2018-01-03,10:38:59.941000,1
214,2018-01-03,10:41:51.739000,1
215,2018-01-03,12:11:22.552000,1
216,2018-01-03,12:36:18.930000,1
217,2018-01-03,12:37:28.065000,1
218,2018-01-03,12:51:15.310000,1
219,2018-01-03,12:52:17.539000,1
220,2018-01-03,13:15:07.104000,1
221,2018-01-03,17:56:47.197000,1
222,2018-01-03,18:41:07.736000,1
223,2018-01-03,18:43:56.466000,1
224,2018-01-04,10:16:03.801000,1
225,2018-01-04,10:17:13.355000,1
226,2018-01-04,10:20:58.585000,1
227,2018-01-04,11:05:13.383000,1
228,2018-01-04,12:00:40.648000,1
229,2018-01-04,12:54:52.608000,1
230,2018-01-04,12:56:38.761000,1
231,2018-01-04,12:59:29.620000,1
232,2018-01-04,13:16:36.111000,1
233,2018-01-04,13:26:43.106000,1
234,2018-01-04,13:30:10.961000,1
235,2018-01-04,15:25:45.310000,1
236,2018-01-04,15:47:50.265000,1
237,2018-01-04,16:35:01.732000,1
238,2018-01-04,18:13:39.815000,1
239,2018-01-05,09:18:07.666000,1
240,2018-01-05,09:19:30.618000,1
241,2018-01-05,09:56:04.858000,1
242,2018-01-05,09:57:33.247000,1
243,2018-01-05,14:16:23.062000,1
244,2018-01-05,14:45:32.017000,1
245,2018-01-05,17:27:42.264000,1
246,2018-01-06,09:17:28.921000,1
247,2018-01-06,11:00:56.032000,1
248,2018-01-08,09:41:33.495000,1
249,2018-01-08,09:49:10.434000,1
250,2018-01-09,10:31:27.694000,1
251,2018-01-09,12:20:32.783000,1
252,2018-01-09,13:56:06.575000,1
253,2018-01-09,14:14:50.609000,1
254,2018-01-09,16:04:49.792000,1
255,2018-01-09,17:05:58.418000,1
256,2018-01-09,17:07:23.793000,1
257,2018-01-09,17:12:22.229000,1
258,2018-01-10,11:39:24.869000,1
259,2018-01-10,14:32:21.181000,1
260,2018-01-10,16:15:19.112000,1
261,2018-01-10,16:18:57.484000,1
262,2018-01-10,17:47:10.378000,1
263,2018-01-10,18:00:18.685000,1
264,2018-01-10,18:15:56.560000,1
265,2018-01-10,18:33:52.057000,1
266,2018-01-11,08:53:50.451000,1
267,2018-01-11,09:28:59.412000,1
268,2018-01-11,09:29:48.841000,1
269,2018-01-11,11:56:01.462000,1
270,2018-01-11,16:55:20.356000,1
271,2018-01-12,09:31:51.092000,1
272,2018-01-12,13:42:08.213000,1
273,2018-01-12,14:08:19.368000,1
274,2018-01-12,14:13:06.517000,1
275,2018-01-12,15:01:15.436000,1
276,2018-01-12,16:34:51.319000,1
277,2018-01-15,09:56:46.550000,1
278,2018-01-15,11:02:53.288000,1
279,2018-01-15,11:04:32.132000,1
280,2018-01-15,12:32:19.622000,1
281,2018-01-15,14:32:55.609000,1
282,2018-01-15,14:35:33.548000,1
283,2018-01-15,14:36:08.889000,1
284,2018-01-15,18:44:42.006000,1
285,2018-01-15,18:57:57.114000,1
286,2018-01-15,19:01:26.708000,1
287,2018-01-15,19:05:49.122000,1
288,2018-01-15,19:16:48.578000,1
289,2018-01-16,09:21:38.688000,1
290,2018-01-16,09:43:06.432000,1
291,2018-01-16,10:38:18.262000,1
292,2018-01-16,16:20:05.499000,1
293,2018-01-17,09:25:49.103000,1
294,2018-01-17,10:04:07.932000,1
295,2018-01-17,11:03:35.215000,1
296,2018-01-17,11:26:05.094000,1
297,2018-01-17,12:41:47.363000,1
298,2018-01-17,13:11:08.131000,1
299,2018-01-17,18:16:34.772000,1
300,2018-01-18,10:29:49.860000,1
301,2018-01-18,11:01:48.211000,1
302,2018-01-18,14:05:37.290000,1
303,2018-01-18,14:07:46.049000,1
304,2018-01-18,14:10:34.969000,1
305,2018-01-19,10:25:44.626000,1
306,2018-01-19,12:07:34.371000,1
307,2018-01-19,12:37:38.644000,1
308,2018-01-19,12:45:31.487000,1
309,2018-01-19,13:20:31.070000,1
310,2018-01-19,14:36:00.131000,1
311,2018-01-19,14:37:40.977000,1
312,2018-01-19,14:41:26.096000,1
313,2018-01-19,14:52:30.514000,1
314,2018-01-19,15:56:15.615000,1
315,2018-01-19,16:32:38.279000,1
316,2018-01-19,17:24:36.615000,1
317,2018-01-19,17:38:14.958000,1
318,2018-01-19,17:52:33.451000,1
319,2018-01-19,17:54:09.549000,1
320,2018-01-19,19:03:08.538000,1
321,2018-01-19,19:05:13.041000,1
322,2018-01-20,11:27:49.291000,1
323,2018-01-20,12:44:34.864000,1
324,2018-01-22,10:41:11.467000,1
325,2018-01-22,13:03:55.972000,1
326,2018-01-22,13:12:52.285000,1
327,2018-01-22,13:15:50.344000,1
328,2018-01-22,14:31:34.723000,1
329,2018-01-22,15:21:10.956000,1
330,2018-01-22,16:38:04.032000,1
331,2018-01-22,18:00:01.432000,1
332,2018-01-23,09:45:07.331000,1
333,2018-01-23,16:47:16.225000,1
334,2018-01-23,17:30:02.042000,1
335,2018-01-24,09:12:00.647000,1
336,2018-01-24,10:16:29.396000,1
337,2018-01-24,10:55:47.397000,1
338,2018-01-24,11:00:36.667000,1
339,2018-01-24,11:06:47.404000,1
340,2018-01-24,11:31:10.885000,1
341,2018-01-24,13:39:19.559000,1
342,2018-01-24,13:42:19.533000,1
343,2018-01-24,13:43:19.954000,1
344,2018-01-24,13:44:13.888000,1
345,2018-01-24,14:41:40.223000,1
346,2018-01-24,17:29:25.835000,1
347,2018-01-24,18:30:25.275000,1
348,2018-01-24,18:35:01.623000,1
349,2018-01-25,09:11:22.168000,1
350,2018-01-25,09:28:49.785000,1
351,2018-01-25,09:33:51.345000,1
352,2018-01-25,09:39:14.324000,1
353,2018-01-25,09:39:19.198000,1
354,2018-01-25,09:43:35.851000,1
355,2018-01-25,12:02:47.484000,1
356,2018-01-25,13:00:58.074000,1
357,2018-01-25,13:01:38.120000,1
358,2018-01-25,13:32:29.364000,1
359,2018-01-25,13:34:04.256000,1
360,2018-01-25,13:34:13.456000,1
361,2018-01-25,14:29:51.893000,1
362,2018-01-25,15:53:07.533000,1
363,2018-01-25,17:00:02.829000,1
364,2018-01-25,17:45:24.099000,1
365,2018-01-25,18:13:46.219000,1
366,2018-01-26,11:18:37.937000,1
367,2018-01-26,11:26:08.512000,1
368,2018-01-26,11:34:17.616000,1
369,2018-01-26,11:45:36.069000,1
370,2018-01-26,12:14:23.697000,1
371,2018-01-26,16:56:53.479000,1
372,2018-01-26,16:58:38.440000,1
373,2018-01-26,17:30:12.883000,1
374,2018-01-26,17:37:07.916000,1
375,2018-01-26,18:53:41.760000,1
376,2018-01-27,10:17:10.738000,1
377,2018-01-27,10:20:24.647000,1
378,2018-01-27,10:32:38.711000,1
379,2018-01-29,09:03:14.522000,1
380,2018-01-29,09:14:16.068000,1
381,2018-01-29,09:15:19.913000,1
382,2018-01-29,09:31:36.081000,1
383,2018-01-30,09:49:15.442000,1
384,2018-01-30,10:56:27.745000,1
385,2018-01-30,12:04:12.148000,1
386,2018-01-30,14:04:55.210000,1
387,2018-01-30,14:55:42.376000,1
388,2018-01-31,08:38:19.997000,1
389,2018-01-31,08:39:35.804000,1
390,2018-01-31,08:59:06.733000,1
391,2018-01-31,09:06:21.443000,1
392,2018-01-31,10:24:51.512000,1
393,2018-01-31,11:06:26.402000,1
271,2018-02-01,09:29:13.095000,3
394,2018-02-01,09:30:06.409000,1
395,2018-02-01,10:14:44.775000,1
396,2018-02-01,10:21:22.752000,1
397,2018-02-01,10:46:33.500000,1
398,2018-02-01,10:50:01.595000,1
399,2018-02-01,10:52:09.229000,1
400,2018-02-01,11:15:27.927000,1
401,2018-02-02,09:23:25.893000,1
402,2018-02-02,09:37:16.744000,1
403,2018-02-02,14:07:37.985000,1
404,2018-02-02,14:23:51.071000,1
405,2018-02-02,16:12:58.713000,1
406,2018-02-02,16:14:56.125000,1
407,2018-02-03,12:18:06.118000,1
408,2018-02-03,12:19:16.770000,1
409,2018-02-03,13:36:26.980000,1
410,2018-02-03,13:42:03.018000,1
411,2018-02-06,09:08:32.946000,1
412,2018-02-06,09:12:31.676000,1
413,2018-02-06,09:14:20.360000,1
414,2018-02-06,09:36:47.473000,1
415,2018-02-06,09:44:38.809000,1
416,2018-02-06,13:51:25.929000,1
417,2018-02-06,13:52:40.168000,1
418,2018-02-06,16:22:47.674000,1
419,2018-02-06,16:40:22.566000,1
420,2018-02-06,17:45:07.187000,1
421,2018-02-06,17:50:42.959000,1
422,2018-02-07,10:53:33.279000,1
423,2018-02-07,11:34:42.348000,1
424,2018-02-07,13:48:50.406000,1
425,2018-02-07,16:53:27.613000,1
426,2018-02-08,10:36:47.827000,1
427,2018-02-08,11:23:44.605000,1
428,2018-02-08,11:28:04.882000,1
429,2018-02-08,12:00:07.569000,1
430,2018-02-08,15:09:25.287000,1
431,2018-02-09,10:35:22.839000,1
432,2018-02-09,12:07:16.485000,1
433,2018-02-09,12:08:12.782000,1
434,2018-02-09,12:09:56.723000,1
435,2018-02-09,12:27:06.947000,1
436,2018-02-09,13:04:22.449000,1
437,2018-02-09,13:06:57.660000,1
438,2018-02-09,13:09:54.434000,1
439,2018-02-09,14:15:39.017000,1
440,2018-02-09,14:17:16.882000,1
441,2018-02-10,13:17:03.963000,1
442,2018-02-12,09:14:26.848000,1
443,2018-02-12,10:25:07.018000,1
444,2018-02-12,12:11:00.778000,1
445,2018-02-12,12:25:36.791000,1
446,2018-02-12,13:12:38.106000,1
447,2018-02-12,14:12:41.550000,1
448,2018-02-12,14:20:00.923000,1
449,2018-02-12,15:42:33.574000,1
450,2018-02-12,16:42:54.408000,1
451,2018-02-12,17:31:56.325000,1
452,2018-02-12,17:49:47.711000,1
453,2018-02-13,10:11:30.519000,1
454,2018-02-13,10:12:52.808000,1
204,2018-02-13,11:11:45.830000,3
455,2018-02-13,11:13:12.286000,1
456,2018-02-13,12:07:19.428000,1
457,2018-02-13,12:28:32.559000,1
458,2018-02-13,12:31:11.282000,1
374,2018-02-13,12:48:05.494000,3
389,2018-02-13,12:48:41.017000,3
357,2018-02-13,12:48:49.177000,3
371,2018-02-13,12:49:00.873000,3
274,2018-02-13,12:49:38.051000,3
343,2018-02-13,12:50:39.123000,3
342,2018-02-13,12:55:43.760000,3
344,2018-02-13,12:56:34.106000,3
383,2018-02-13,12:57:17.234000,3
387,2018-02-13,12:57:54.090000,3
362,2018-02-13,12:58:32.467000,3
339,2018-02-13,13:00:23.067000,3
365,2018-02-13,13:00:46.260000,3
150,2018-02-13,13:01:30.045000,3
375,2018-02-13,13:02:09.190000,3
394,2018-02-13,13:02:36.272000,3
197,2018-02-13,13:03:45.249000,3
415,2018-02-13,13:05:05.842000,3
82,2018-02-13,13:05:25.895000,3
356,2018-02-13,13:05:52.522000,3
144,2018-02-13,13:06:08.354000,3
299,2018-02-13,13:11:09.439000,3
423,2018-02-13,13:12:05.559000,3
369,2018-02-13,13:13:07.649000,3
378,2018-02-13,13:13:55.115000,3
40,2018-02-13,13:14:28.425000,3
412,2018-02-13,13:15:20.835000,3
367,2018-02-13,13:16:51.846000,3
315,2018-02-13,13:17:13.868000,3
132,2018-02-13,13:17:57.709000,3
386,2018-02-13,13:18:32.646000,3
148,2018-02-13,13:18:57.583000,3
413,2018-02-13,13:19:48.016000,3
168,2018-02-13,13:20:07.623000,3
384,2018-02-13,13:20:53.937000,3
435,2018-02-13,13:21:26.483000,3
396,2018-02-13,13:22:12.649000,3
459,2018-02-13,13:22:37.480000,1
196,2018-02-13,13:22:44.486000,3
346,2018-02-13,13:23:22.234000,3
421,2018-02-13,13:24:17.044000,3
445,2018-02-13,13:24:44.196000,3
359,2018-02-13,13:25:08.682000,3
358,2018-02-13,13:25:22.044000,3
360,2018-02-13,13:25:56.957000,3
441,2018-02-13,13:26:41.062000,3
403,2018-02-13,13:27:28.862000,3
329,2018-02-13,13:27:40.389000,3
402,2018-02-13,13:28:56.824000,3
436,2018-02-13,13:29:40.376000,3
363,2018-02-13,13:29:56.312000,3
430,2018-02-13,13:32:55.804000,3
24,2018-02-13,13:34:08.813000,3
29,2018-02-13,13:34:34.258000,3
51,2018-02-13,13:34:50.814000,3
52,2018-02-13,13:36:18.151000,3
167,2018-02-13,13:36:27.423000,3
169,2018-02-13,13:37:13.792000,3
191,2018-02-13,13:37:40.784000,3
460,2018-02-13,13:39:35.321000,1
461,2018-02-13,13:41:24.067000,1
209,2018-02-13,13:43:20.815000,3
219,2018-02-13,13:43:31.509000,3
250,2018-02-13,13:43:44.590000,3
263,2018-02-13,13:43:57.717000,3
273,2018-02-13,13:44:06.822000,3
275,2018-02-13,13:44:16.462000,3
279,2018-02-13,13:44:38.583000,3
285,2018-02-13,13:45:05,3
293,2018-02-13,13:45:15.705000,3
294,2018-02-13,13:45:25.328000,3
295,2018-02-13,13:45:39.441000,3
300,2018-02-13,13:46:04.273000,3
301,2018-02-13,13:46:18.665000,3
304,2018-02-13,13:46:27.089000,3
306,2018-02-13,13:46:38.257000,3
308,2018-02-13,13:46:52.698000,3
309,2018-02-13,13:47:03.042000,3
312,2018-02-13,13:47:11.545000,3
313,2018-02-13,13:47:24.058000,3
314,2018-02-13,13:47:38.749000,3
316,2018-02-13,13:48:05.179000,3
317,2018-02-13,13:48:18.458000,3
318,2018-02-13,13:48:25.668000,3
319,2018-02-13,13:49:05.523000,3
323,2018-02-13,13:49:22.852000,3
324,2018-02-13,13:49:31.730000,3
325,2018-02-13,13:49:39.332000,3
326,2018-02-13,13:49:50.812000,3
327,2018-02-13,13:49:57.941000,3
331,2018-02-13,13:50:13.606000,3
333,2018-02-13,13:50:32.069000,3
336,2018-02-13,13:50:47.389000,3
337,2018-02-13,13:50:55.693000,3
338,2018-02-13,13:51:03.661000,3
340,2018-02-13,13:51:13.855000,3
341,2018-02-13,13:51:21.783000,3
347,2018-02-13,13:51:36.207000,3
348,2018-02-13,13:51:44.716000,3
351,2018-02-13,13:51:53.758000,3
352,2018-02-13,13:52:00.447000,3
355,2018-02-13,13:52:07.695000,3
366,2018-02-13,13:52:50.248000,3
379,2018-02-13,13:53:14.208000,3
381,2018-02-13,13:53:24.065000,3
462,2018-02-13,14:52:00.696000,1
463,2018-02-13,14:53:21.155000,1
464,2018-02-13,19:08:01.031000,1
465,2018-02-14,09:46:20.473000,1
466,2018-02-14,09:48:21.825000,1
390,2018-02-14,09:54:36.943000,3
251,2018-02-14,09:54:43.430000,3
136,2018-02-14,09:56:56.200000,3
467,2018-02-14,09:59:22.885000,1
400,2018-02-14,10:39:50.272000,3
15,2018-02-14,10:48:35.032000,3
16,2018-02-14,10:48:47.746000,3
17,2018-02-14,10:49:34.977000,3
21,2018-02-14,10:49:55.857000,3
22,2018-02-14,10:50:16.859000,3
23,2018-02-14,10:50:31.147000,3
25,2018-02-14,10:50:49.467000,3
26,2018-02-14,10:51:18.388000,3
27,2018-02-14,10:51:56.579000,3
28,2018-02-14,10:52:18.394000,3
30,2018-02-14,10:52:34.102000,3
31,2018-02-14,10:52:45.146000,3
32,2018-02-14,10:52:54.020000,3
33,2018-02-14,10:53:16.270000,3
34,2018-02-14,10:54:04.909000,3
35,2018-02-14,10:54:55.935000,3
36,2018-02-14,10:55:13.711000,3
37,2018-02-14,10:55:35.071000,3
38,2018-02-14,10:56:14.272000,3
39,2018-02-14,10:56:41.472000,3
41,2018-02-14,10:58:03.621000,3
42,2018-02-14,10:58:23.846000,3
44,2018-02-14,10:58:31.522000,3
45,2018-02-14,10:58:47.826000,3
46,2018-02-14,10:59:02.736000,3
47,2018-02-14,10:59:31.252000,3
48,2018-02-14,11:00:11.578000,3
49,2018-02-14,11:00:43.796000,3
50,2018-02-14,11:01:07.756000,3
53,2018-02-14,11:01:26.295000,3
54,2018-02-14,11:02:52.486000,3
56,2018-02-14,11:03:16.486000,3
57,2018-02-14,11:04:58.528000,3
58,2018-02-14,11:05:32.497000,3
59,2018-02-14,11:05:46.198000,3
60,2018-02-14,11:06:27.081000,3
61,2018-02-14,11:06:46.336000,3
62,2018-02-14,11:06:59.227000,3
63,2018-02-14,11:07:19.099000,3
64,2018-02-14,11:08:49.282000,3
65,2018-02-14,11:09:04.988000,3
66,2018-02-14,11:09:17.891000,3
67,2018-02-14,11:10:05.494000,3
68,2018-02-14,11:10:54.820000,3
69,2018-02-14,11:11:25.518000,3
70,2018-02-14,11:11:49.479000,3
71,2018-02-14,11:12:08.649000,3
72,2018-02-14,11:12:35.320000,3
73,2018-02-14,11:12:59.257000,3
74,2018-02-14,11:13:12.456000,3
75,2018-02-14,11:13:43.737000,3
76,2018-02-14,11:14:01.969000,3
77,2018-02-14,11:14:36.154000,3
78,2018-02-14,11:14:56.706000,3
79,2018-02-14,11:15:41.795000,3
80,2018-02-14,11:15:58.979000,3
81,2018-02-14,11:16:15.500000,3
84,2018-02-14,11:17:15.237000,3
85,2018-02-14,11:18:15.048000,3
86,2018-02-14,11:18:36.179000,3
87,2018-02-14,11:18:51.531000,3
89,2018-02-14,11:19:17.136000,3
90,2018-02-14,11:19:33.387000,3
92,2018-02-14,11:19:59.635000,3
93,2018-02-14,11:20:33.896000,3
94,2018-02-14,11:20:51.272000,3
95,2018-02-14,11:21:23.392000,3
97,2018-02-14,11:21:50.577000,3
98,2018-02-14,11:22:17.497000,3
99,2018-02-14,11:23:32.866000,3
101,2018-02-14,11:23:49.668000,3
102,2018-02-14,11:24:16.506000,3
103,2018-02-14,11:24:46.299000,3
104,2018-02-14,11:25:14.292000,3
105,2018-02-14,11:27:17.068000,3
106,2018-02-14,11:27:43.468000,3
107,2018-02-14,11:28:14.750000,3
108,2018-02-14,11:29:12.055000,3
109,2018-02-14,11:29:33.375000,3
110,2018-02-14,11:29:57.255000,3
111,2018-02-14,11:30:17.847000,3
112,2018-02-14,11:30:46.095000,3
113,2018-02-14,11:31:46.783000,3
114,2018-02-14,11:32:16.146000,3
115,2018-02-14,11:32:45.458000,3
116,2018-02-14,11:33:17.723000,3
118,2018-02-14,11:33:39.948000,3
119,2018-02-14,11:34:13.446000,3
120,2018-02-14,11:37:15.637000,3
121,2018-02-14,11:37:54.303000,3
122,2018-02-14,11:38:16.263000,3
123,2018-02-14,11:38:36.400000,3
124,2018-02-14,11:39:03.711000,3
125,2018-02-14,11:39:29.473000,3
127,2018-02-14,11:39:53.169000,3
128,2018-02-14,11:40:34.706000,3
129,2018-02-14,11:40:45.930000,3
130,2018-02-14,11:41:08.138000,3
131,2018-02-14,11:41:28.098000,3
133,2018-02-14,11:44:23.485000,3
134,2018-02-14,11:44:45.252000,3
135,2018-02-14,11:45:04.470000,3
137,2018-02-14,11:45:37.736000,3
143,2018-02-14,11:46:07.527000,3
145,2018-02-14,11:46:24.127000,3
146,2018-02-14,11:46:47.734000,3
147,2018-02-14,11:47:06.344000,3
149,2018-02-14,11:47:44.744000,3
151,2018-02-14,11:48:03.160000,3
152,2018-02-14,11:48:48.186000,3
153,2018-02-14,11:54:41.540000,3
154,2018-02-14,11:55:58.163000,3
155,2018-02-14,11:56:17.765000,3
159,2018-02-14,11:56:42.070000,3
161,2018-02-14,11:57:11.895000,3
162,2018-02-14,11:57:52.253000,3
163,2018-02-14,11:58:26.702000,3
164,2018-02-14,11:58:42.952000,3
