CODIGO,NOMBRE,CODMARCA,FECHA_AUD,HORA_AUD
4070,817990,505,2018-02-16,15:00:46.717000
4072,AX-325,442,2018-02-16,17:18:34.122000
4073,DJ INK ADVANTAGE 3545,449,2018-02-19,08:56:50.724000
4074,SR1215,481,2018-02-19,09:06:10.823000
4075,MINI 110,449,2018-02-19,09:12:15.482000
4076,PAVILLION DV6000,449,2018-02-19,09:14:21.467000
4077,p1606dn,449,2018-02-19,11:55:39.804000
4078,3050,449,2018-02-19,12:03:50.698000
4079,DR-210TM,19,2018-02-19,13:25:24.005000
4080,CP-325,128,2018-02-19,14:11:06.746000
4081,SATELLITE P745D-SP4161M,504,2018-02-19,15:10:02.753000
4082,COMFORTYPE MD,457,2018-02-19,15:12:47.383000
4083,ENTERPRISE FLOW 5000 S4,449,2018-02-20,10:36:30.055000
4085,500,506,2018-02-20,16:12:40.641000
4086,INSPIRON 3121,447,2018-02-20,16:44:51.468000
4088,8080,442,2018-02-20,18:22:39.832000
4090,1020,449,2018-02-21,10:45:34.702000
4091,C734DN,444,2018-02-22,09:13:41.344000
4092,g470,446,2018-02-22,09:16:38.986000
4094,DCP8080DN,442,2018-02-22,10:45:33.718000
4095,DJ 70,449,2018-02-22,13:14:42.191000
4096,6940,449,2018-02-22,14:26:09.233000
4097,P50CM,492,2018-02-22,16:55:55.274000
4098,ML-1915,128,2018-02-22,17:34:22.185000
76,TV-1400,19,2008-06-11,15:46:35.984000
4099,MFC-7360N,442,2018-02-23,09:06:00.996000
4101,HL-22,442,2018-02-23,10:00:46.337000
4102,TITAN 4000,507,2018-02-23,12:24:57.155000
4103,RT5390,481,2018-02-23,12:54:30.289000
4105,6500,468,2018-02-23,14:08:16.631000
4106,8060,442,2018-02-23,14:48:57.343000
4107,DCP-T300,442,2018-02-26,09:08:28.006000
4108,M1132MFP,449,2018-02-26,09:09:46.678000
4109,5000,449,2018-02-26,09:16:51.966000
4110,FLOW 5000 S4,449,2018-02-26,09:18:10.622000
4111,840c,449,2018-02-26,09:47:58.722000
4112,SATELLITE L755-SP5280LM,504,2018-02-26,10:51:50.385000
4113,80TK,446,2018-02-26,11:08:35.570000
4114,LJ C 2605,449,2018-02-26,13:45:01.087000
4115,lj m1522nf,449,2018-02-27,11:49:24.338000
4116,CA-305TS,509,2018-02-27,14:02:55.337000
4118,LN32D,128,2018-02-27,16:40:19.149000
4119,dv2000,449,2018-02-28,09:41:38.900000
4120,ASPIRE V5-471P,373,2018-02-28,09:44:05.245000
4121,M1132 MFP,449,2018-02-28,10:10:25.352000
4122,oj j4660,449,2018-02-28,11:23:07.938000
4123,SRP-270AP,128,2018-03-01,10:10:24.159000
4124,RT3290,449,2018-03-01,10:13:56.675000
4125,PSC1410,449,2018-03-01,12:42:39.368000
4126,S55T-B5261SM,504,2018-03-01,16:22:18.370000
4127,L45-B4271S,504,2018-03-01,16:25:20.050000
4129,7055,442,2018-03-01,19:02:56.629000
4130,8710,442,2018-03-01,19:08:47.777000
4131,LX-300+,441,2018-03-01,19:44:02.205000
4132,6781-II,510,2018-03-01,20:02:19.143000
4134,4250 N,449,2018-03-02,12:12:21.973000
4135,3615,448,2018-03-02,12:14:21.202000
4137,l45-b4271sm,504,2018-03-02,13:44:08.487000
4139,7065dn,442,2018-03-02,17:40:56.685000
5200,IDEAPAD320,446,2019-02-19,09:56:05.981000
5201,M2022W,128,2019-02-19,11:22:14.540000
5202,VT17WV7X,532,2019-02-19,12:50:31.653000
5203,171M,597,2019-02-19,12:51:31.731000
5204,VPL-CS4,144,2019-02-19,14:07:05.541000
5205,VOSTRO 3460,447,2019-02-19,14:07:34.010000
5206,X-370,576,2019-02-19,14:22:29.539000
5207,ML 2165,128,2019-02-19,17:42:19.172000
5208,FR-2650RT,19,2019-02-20,09:16:36.501000
5209,STUDIO 44,470,2019-02-20,09:19:09.365000
5210,PRO 8620,449,2019-02-20,09:49:36.064000
5211,100 COLORMFP M175NV,449,2019-02-20,09:55:43.412000
5212,DESJET GT 5820,449,2019-02-20,13:15:29.599000
5213,X117,373,2019-02-21,09:44:17.463000
5214,SVF 142C29U,144,2019-02-21,12:13:18.593000
5215,EX31,441,2019-02-22,14:18:56.486000
5216,S/NUMERO ,446,2019-02-22,17:59:38.009000
5217,V110-14IAP (80TF),446,2019-02-22,18:04:57.161000
5218,C521,447,2019-02-23,12:33:50.309000
5219,KX-TG1711MEB,574,2019-02-25,12:28:00.621000
5220,700 VA,476,2019-02-25,13:22:56.346000
5221,4816R,476,2019-02-25,13:23:03.295000
5222,LASERJET 2300L,449,2019-02-25,15:24:44.745000
5223,INSPIRON P74G,447,2019-02-25,16:23:53.618000
5224,WORKCENTER3210,448,2019-02-25,16:54:51.867000
5225,DCP--7055W,442,2019-02-25,18:04:42.740000
5226,SATELITE C855-5266KM,504,2019-02-26,09:20:20.324000
5227,pavilion m8000,449,2019-02-26,12:06:06.403000
5228,T22,441,2019-02-27,09:37:12.238000
5229,SATELITE C855-SP5266KM,504,2019-02-27,09:52:03.680000
5230,NV1000L,598,2019-02-28,09:48:19.744000
5231,L4150,441,2019-02-28,16:16:12.887000
5232,PL-42091HDP,128,2019-03-01,09:52:10.867000
5233,80NR,446,2019-03-01,10:02:34.845000
5234,PROEXPRESS M4580FX,128,2019-03-01,11:19:32.424000
5235,HP MINI110-1140LA,449,2019-03-01,15:39:45.617000
5236,LANIX CORP4050,507,2019-03-01,15:52:56.027000
5237,14-AC104LA,449,2019-03-01,17:12:07.051000
5238,57310863,446,2019-03-01,17:14:30.929000
5239,R-UPR508,477,2019-03-04,11:05:05.201000
5240,COMPAC 6530B,449,2019-03-04,13:34:43.196000
5241,DP500A2D,128,2019-03-04,17:42:48.961000
5242,11-R810LA,449,2019-03-04,17:47:05.751000
5243,425VA,473,2019-03-05,17:09:01.796000
5244,XRN-21-481,590,2019-03-05,17:13:05.631000
5245,ISB ,485,2019-03-05,17:13:10.708000
5246,700 PLUS ,599,2019-03-05,17:15:27.305000
5247,PROTECTORFOR LCD & PC,590,2019-03-05,17:16:01.957000
5248,VA2226W,568,2019-03-06,09:18:34.458000
5249,COLO LJ 5500,449,2019-03-06,10:18:49.660000
5250,XEROX,600,2019-03-06,10:20:38.704000
5251,4C4H,449,2019-03-06,15:24:42.928000
5252,BACK-UPS RS 1200,403,2019-03-07,11:47:03.033000
5253,BACK-UPS RS 1500,403,2019-03-07,11:48:26.305000
5254,MFC8910DW,442,2019-03-07,13:17:38.721000
5255,MT500,601,2019-03-07,17:44:02.988000
5256,CVR2500,590,2019-03-08,09:19:11.694000
5257,ZE6,521,2019-03-08,10:53:46.533000
5258,EEX2000,598,2019-03-08,12:20:22.096000
5259,QL-700,442,2019-03-08,15:52:04.696000
5260,N16Q2,373,2019-03-11,09:08:18.408000
5261,CPT-013AIO,602,2019-03-11,13:09:12.219000
5262,HEATSEAL 45,603,2019-03-11,14:37:37.341000
5263,PRO6830,449,2019-03-11,16:25:59.567000
5264,15-BS011LA,449,2019-03-12,12:19:00.967000
5265,PAVILION X360,449,2019-03-12,17:28:13.133000
5266,LASERJET P2055DN,449,2019-03-13,11:11:14.471000
5267,SX2850,521,2019-03-13,12:11:13.625000
5268,POW-500,604,2019-03-13,12:43:09.470000
5269,1708FPB,447,2019-03-14,10:04:02.709000
5270,CDNE,447,2019-03-14,10:06:29.236000
5271,HP DESJET ADVANTAGE 1515,449,2019-03-14,12:58:19.398000
5272,1012,449,2019-03-14,13:14:30.172000
5273,80xs,446,2019-03-15,08:58:55.286000
5274,LASER JET P2035,449,2019-03-15,12:36:21.306000
5275,LENOVO TP00050C,446,2019-03-15,16:14:40.052000
5276,OFFICE JET 8710,449,2019-03-16,09:49:25.328000
5277,LCD 1988,605,2019-03-19,15:30:19.299000
5278,X455L,475,2019-03-19,16:15:29.221000
5279,MB491+LP,468,2019-03-20,10:49:16.792000
5280,14-E010LA,449,2019-03-20,14:57:52.869000
5281,PAGEWIDE PRO MFP 477DW,449,2019-03-20,17:57:54.895000
5282,43UF6400-UA,270,2019-03-22,09:39:09.080000
5283,M249A,441,2019-03-22,13:45:46.401000
5284,J3680,449,2019-03-23,09:50:36.673000
5286,WORK center 3210,448,2019-03-23,12:28:32.949000
5287,G40-80,446,2019-03-25,09:13:30.629000
5288,COLOR LASEJET M477FNW,449,2019-03-25,17:28:25.224000
5289,HP LASEJET 1536DNF,449,2019-03-25,18:04:19.429000
5290,SACNJET 7800,449,2019-03-26,14:13:34.773000
5291,DV6-7010US,449,2019-03-27,09:52:19.391000
5292,NITRO 5 ,373,2019-03-27,12:26:33.822000
5293,PRO 1005 AIO,449,2019-03-27,13:47:48.072000
5294,24-R007LA,449,2019-03-27,16:43:31.135000
5295,LATITUDE E6530,447,2019-03-27,17:35:51.298000
5296,H478A,441,2019-03-28,12:02:28.171000
5297,M1212NF,449,2019-03-30,11:26:26.027000
5298,JLJ PRO 400 MFP / M425DN,449,2019-03-30,11:35:16.553000
5299,LP2207,521,2019-04-01,17:44:07.368000
5300,MS2396,521,2019-04-02,10:02:57.393000
5301,930C,449,2019-04-02,10:25:52.704000
5302,DOCUPRINT P8EX,448,2019-04-02,10:26:32.429000
6564,p4015,449,2020-11-09,11:41:32.975000
5305,L40D-ASP4260LM ,504,2019-04-02,17:36:20.516000
5306,110-3710LA,449,2019-04-03,15:43:36.002000
5307,1000VA,403,2019-04-04,11:28:23.582000
5308,PRO 8600 PLUS,449,2019-04-04,15:58:21.709000
5309,OMNI10,449,2019-04-04,17:24:58.460000
5310,N214,521,2019-04-04,17:29:11.641000
5311,15-B142DX,449,2019-04-04,17:31:08.996000
5312,INSPIRON15-5548,447,2019-04-05,13:27:12.909000
5313,S300C,475,2019-04-05,15:25:03.310000
5314,INSPIRION 15 7000 SERIES,447,2019-04-08,11:35:35.732000
5315,FS-3040MFT,384,2019-04-09,10:55:32.223000
5316,ME220,607,2019-04-09,12:41:06.359000
5317,ideapad 510s-14isk,446,2019-04-10,08:48:28.804000
5318,OFICEJET PRO 8600,449,2019-04-10,10:32:34.514000
5319,HP PAVILION 23 - H055LA,449,2019-04-10,16:43:49.526000
5320,DCP J100,442,2019-04-10,17:18:16.790000
5321,FASED3300MFP,448,2019-04-10,17:29:58.619000
5322,C40D-ASP4386RM ,504,2019-04-11,14:48:13.179000
5323,LASER JET 2300,449,2019-04-11,15:35:55.143000
5324,PP18L,447,2019-04-11,16:09:30.606000
5325,MFC-J6920DW,442,2019-04-13,10:40:10.498000
5326,KIN-525CS,608,2019-04-15,12:38:19.444000
5327,APC,403,2019-04-15,12:40:25.992000
5328,P25G,447,2019-04-15,12:42:38.787000
5329,MT605,466,2019-04-15,13:55:47.341000
5331,PR2200LCDT2U,473,2019-04-15,17:15:15.371000
5332,BCM943142Y,449,2019-04-15,17:17:16.270000
5333,EMP-54,441,2019-04-16,14:54:39.087000
5334,DELL,447,2019-04-16,16:13:40.845000
5335,DC7700,449,2019-04-17,09:37:36.784000
5336,M377DW,449,2019-04-17,10:18:22.010000
5337,SLE3050M,609,2019-04-17,10:35:46.109000
5338,EC-PM-80340,517,2019-04-17,12:09:54.930000
5339,NBKS1000,590,2019-04-17,13:53:36.024000
5340,1815,384,2019-04-22,11:07:47.104000
5341,WORK center 3345,448,2019-04-22,11:26:28.339000
5342,XPRESS C480W ,128,2019-04-22,11:28:54.030000
5343,MFC -J200,442,2019-04-22,12:20:06.448000
5344,COLOR LASER JET CP1215,449,2019-04-22,14:51:25.887000
5345,ADVANTAGE 2135,449,2019-04-22,15:57:57.104000
5346,TPN-W108,449,2019-04-23,10:18:05.360000
5347,LASER JET PRO MFP M477 FNW,449,2019-04-23,12:32:07.933000
5348,933SNPLUS ,128,2019-04-23,12:41:47.989000
5349,LASER JET P1005,449,2019-04-23,13:34:24.129000
5350,DT04XLNOTE BOOK,449,2019-04-23,16:06:03.703000
5351,SR 480 INET,590,2019-04-24,10:05:20.607000
5352,GHIA,500,2019-04-24,11:46:32.584000
5353,PROTECTORF LCD & PC,590,2019-04-24,17:03:26.820000
5354,NP270E4E,128,2019-04-25,11:32:13.288000
5356,X-21-481,485,2019-04-25,16:32:41.653000
5357,color laser jet pro mfp m176n,449,2019-04-26,09:04:06.073000
5358,WIDESCREEN,549,2019-04-26,09:56:08.338000
5359,INSPIRON15-5547,447,2019-04-29,10:19:01.019000
5360,P1503,610,2019-04-29,16:00:55.047000
5361,P66F,447,2019-04-29,16:08:37.898000
5362,LENOVOYOGA 1517-5500U,446,2019-04-29,16:40:28.705000
5363,N22501A,468,2019-04-30,10:59:11.280000
5364,120-1136LA,449,2019-04-30,12:37:04.400000
5365,Z01,373,2019-04-30,12:57:13.314000
5366,LASER JET 425 DN,449,2019-05-02,14:39:33.978000
5367,omnivs1000,591,2019-05-02,16:32:04.064000
5368,1500 SMART LCD,591,2019-05-02,16:33:37.055000
5369,INPIRON 14,447,2019-05-03,09:37:10.374000
5370,DV5-2046LA,449,2019-05-04,12:28:46.225000
5371,ADVANTAGE 2515,449,2019-05-06,09:39:08.739000
5372,E- TRONIX 1500,612,2019-05-06,15:05:36.366000
5373,MP27 DN,443,2019-05-06,17:52:00.208000
5374,S1200,506,2019-05-07,13:38:22.549000
5375,OFFICE JET PRO 8600,449,2019-05-07,14:36:43.290000
5376,SMART 1500LCDT,591,2019-05-07,17:03:07.448000
5377,RT3290LE,449,2019-05-08,10:12:20.800000
5378,BACK-UPS 650,403,2019-05-08,12:07:26.992000
5379,desjet t120,449,2019-05-08,14:23:41.545000
5380,100-14IBD,446,2019-05-08,17:43:10.728000
5381,CP-013-AIO,481,2019-05-09,09:31:36.374000
5382,DESKJET F4280,449,2019-05-09,10:50:55.703000
5383,LASERJET 3055,449,2019-05-09,16:49:32.920000
5384,ATIVA SX15,613,2019-05-09,17:56:48.983000
5385,ZT410,459,2019-05-10,12:15:00.791000
5386,CL151F-F,500,2019-05-10,13:42:36.505000
5387,M4072D,128,2019-05-13,12:13:54.535000
5388,M1212NF MFP ,449,2019-05-13,12:15:22.595000
5389,E3-112 SAERIES,373,2019-05-14,09:51:04.710000
5390,LASER JET P2055DN ,449,2019-05-14,12:05:27.464000
5391,BACK-UPS 750,403,2019-05-14,12:49:17.366000
5392,smart aps 3000,403,2019-05-15,10:37:28.787000
5393,SG3,457,2019-05-15,16:36:26.042000
5394,LP2417,521,2019-05-16,14:06:51.397000
5395,WORK center 3615,448,2019-05-17,10:23:42.270000
5396,DES JET GT 5820,449,2019-05-17,12:30:51.629000
5397,PRODESK400 ,449,2019-05-17,14:30:43.191000
5398,SR5220LA,602,2019-05-17,14:34:09.778000
5399,NX6120,449,2019-05-18,12:12:07.404000
5400,IN212,610,2019-05-20,11:48:25.209000
5401,IN2112,610,2019-05-20,11:49:45.418000
5402,h719a ,441,2019-05-20,11:51:25.562000
5403,MS504,460,2019-05-20,11:52:44.409000
5404,in2114,610,2019-05-20,11:53:04.135000
5405,IN112,610,2019-05-20,11:55:23.938000
5406,750VA,615,2019-05-20,11:59:59.188000
5407,NP-M300X,616,2019-05-20,12:01:36.553000
5408,SCAN JET 4500FN1,449,2019-05-20,12:03:53.999000
5409,PJD6553W,569,2019-05-20,12:05:09.553000
5410,40PFL4609/F8,111,2019-05-20,12:13:40.787000
5411,FX890,441,2019-05-20,13:47:57.031000
5412,DV6809WM ,449,2019-05-20,14:01:40.670000
5413,DCP-J100,442,2019-05-20,16:39:35.173000
5414,wepad,617,2019-05-21,10:18:46.745000
5415,LASER JET M1132 MFP ,449,2019-05-21,12:41:23.293000
5416,P630I,459,2019-05-21,13:27:19.627000
5417,LED-W21-300,549,2019-05-21,13:37:17.247000
5418,L380,441,2019-05-22,12:23:04.171000
5419,XR-10S ,140,2019-05-22,13:33:26.323000
5420,VPL-EX4,144,2019-05-22,13:34:22.088000
5421,DV2834CA,449,2019-05-22,15:27:46.082000
5422,LASER JET 500 COLOR M551 ,449,2019-05-22,16:01:53.094000
5423,Q6656A,618,2019-05-23,11:02:59.318000
5424,SG-3,457,2019-05-23,12:54:58.563000
5425,LASER JET P1505N,449,2019-05-23,17:26:10.568000
5426,compaq 60050,449,2019-05-24,11:01:40.481000
5429,LASER JET ENTERPRISE M506,449,2019-05-24,14:48:30.203000
5430,IDEAPAD 320-15ISK,446,2019-05-25,12:50:58.682000
5431,151V,128,2019-05-27,13:35:09.226000
5432,15-BS026 LA,449,2019-05-27,15:08:43.080000
5433,SM-T210R,128,2019-05-28,10:58:40.598000
6565,LASER JET M1005 MFP,449,2020-11-09,17:32:03.661000
5435,LASE JET PRO M102W,449,2019-05-28,12:27:34.007000
5436,PHOTOSMART ,449,2019-05-28,12:40:23.037000
5437,MFC-J6920DN,442,2019-05-28,13:26:26.370000
5438,2504,550,2019-05-28,14:08:45.251000
5439,SATELLITEC655D-SP5024M,504,2019-05-28,15:26:54.574000
5440,MS-N014,582,2019-05-29,09:04:55.424000
5441,M1120MFP,449,2019-05-29,15:41:51.528000
5442,HPLASERJET P1102W,449,2019-05-29,17:14:55.754000
5443,R-UPR 1008,477,2019-05-30,10:35:04.577000
5444,SATELLITE C655-S5128,504,2019-05-30,10:49:36.055000
5445,AC204,619,2019-05-30,17:43:12.350000
5446,lENOVO ,446,2019-05-31,10:38:40.636000
5447,IDEPAD 500-15ACZ,446,2019-05-31,12:40:14.221000
5448,SATELLITE C855-SP5266KM,504,2019-05-31,13:53:52.929000
5449,VPC-Z11CGX/X,144,2019-05-31,13:55:24.588000
5450,22-B013LA,449,2019-05-31,13:57:42.842000
5451,S/ MODELO ,449,2019-05-31,13:58:05.518000
5452,VPL-CS6,144,2019-05-31,14:58:01.006000
5453,CORRECTRONIC 320,442,2019-05-31,17:33:11.656000
5454,INSPIRON 15-5548,447,2019-06-03,10:19:02.875000
5455,LASERJET1300,449,2019-06-03,12:02:50.485000
5456,LASER JET M1005MFP ,449,2019-06-03,12:11:21.600000
5457,WORD CENTER 3550,448,2019-06-03,16:22:17.193000
5458,PAVILION G4 SERIES,449,2019-06-04,13:02:23.113000
5459,80SR,446,2019-06-04,14:27:20.136000
5460,INPIRON N5110,447,2019-06-04,15:07:40.915000
5461,PROLIANT ML150G6,449,2019-06-05,13:24:35.922000
5462,LASER JET M1120 MFP ,449,2019-06-07,17:23:24.857000
5463,P05G,447,2019-06-07,17:47:40.848000
5464,SM-P580,128,2019-06-07,17:57:52.175000
5465,GN654AA,449,2019-06-12,14:04:17.671000
5466,G-UPR506,477,2019-06-12,15:12:39.206000
5467,R-UPR753,477,2019-06-12,15:16:01.551000
5468,OFFICEJET PRO 8600 ,449,2019-06-13,11:39:45.664000
5469,AZ6L1,373,2019-06-13,12:56:31.244000
5470,XR-21-481,485,2019-06-13,16:24:57.764000
5471,C430W,128,2019-06-14,09:15:20.244000
5472,221,384,2019-06-14,11:57:41.940000
5473,ML-2165W,128,2019-06-14,12:05:09.482000
5474,H309A,441,2019-06-14,13:32:37.956000
5475,CB2,449,2019-06-14,13:47:26.279000
5476,LASERJET PRO MFP M521DN,449,2019-06-14,15:56:22.495000
5477,S1935A,449,2019-06-15,09:21:24.819000
5478,PAVILION 11K-102LA,449,2019-06-15,13:02:18.962000
5479,LASERJET 1320,449,2019-06-17,10:28:21.312000
5480,LASERJET P4014N,449,2019-06-17,11:44:41.948000
5481,SATELLITE T215D-SP-1010M,504,2019-06-17,16:16:25.458000
5483,be550g-lm,403,2019-06-18,13:51:57.061000
5484,PAGE WIDEPRO MFP477DW,449,2019-06-18,15:51:01.295000
5485,OFFICEJET PRO 8100,449,2019-06-19,15:08:28.742000
5486,STEREN ,621,2019-06-19,17:43:24.453000
5487,LEADER,622,2019-06-19,17:45:34.314000
5488,INK TANK WIRELESS 415,449,2019-06-20,13:25:54.827000
5489,EL-1801V,140,2019-06-20,13:45:20.761000
5490,4820M,623,2019-06-20,16:17:37.086000
5491,fx-1180,441,2019-06-21,09:24:46.227000
5492,LN40A55P3FXZX,128,2019-06-21,12:40:06.837000
5493,MB461,468,2019-06-21,13:25:12.725000
5494,hxt7730,574,2019-06-24,10:00:08.831000
5495,LASERJETP1606dn,449,2019-06-24,11:25:53.666000
5498,15-CR0002LA,449,2019-06-24,12:40:22.333000
5500,19MVWK,507,2019-06-24,15:48:41.990000
5501,ES 550,403,2019-06-24,15:50:28.765000
5502,80XH,446,2019-06-25,09:25:20.568000
5503,W2043TE-PF,270,2019-06-25,12:02:50.735000
5504,190LM00019,553,2019-06-25,12:04:16.039000
5505,185LM00019,553,2019-06-25,12:05:12.787000
5506,SATELITE L55D - B5162RM,504,2019-06-25,16:10:47.721000
5507,COMPAQ PRESARIO C3000,449,2019-06-25,16:35:55.203000
5508,10017USB/R,476,2019-06-26,15:15:12.313000
5509,7016USB/R,476,2019-06-26,15:15:48.475000
6566,HSTND-2261-LN,449,2020-11-10,09:03:03.810000
5511,MF6550,443,2019-06-28,10:23:23.363000
5512,ISB PROTECTOR,485,2019-06-28,11:34:18.972000
5513,N/A,624,2019-06-29,12:46:06.228000
5514,24-b222la,449,2019-07-01,09:46:35.665000
5515,ES1-511 SERIES,373,2019-07-01,11:32:49.097000
5516,DCP-L25400DW,442,2019-07-01,12:18:29.698000
5517,L192WS-BN,270,2019-07-01,12:28:48.793000
5518,CL171,625,2019-07-01,12:29:58.256000
5519,IDEACENTREAIO 330-201GM,446,2019-07-01,12:51:41.857000
5520,RU-SMART1010,477,2019-07-01,12:57:50.959000
5521,EPSON STYLUS TX130,441,2019-07-02,10:12:10.755000
5522,LASER JET 400M401N,449,2019-07-02,10:31:32.365000
5523,PRO1000,403,2019-07-02,12:41:25.199000
5524,S 1600,506,2019-07-02,14:17:41.779000
6567,PP41L,447,2020-11-10,09:04:08.989000
5525,DESJET3635,449,2019-07-03,17:34:18.824000
5526,isb lcd & pc,590,2019-07-04,09:43:18.645000
5527,PRO 1000,403,2019-07-04,12:20:24.717000
5528,OFFICE 500,626,2019-07-04,12:41:02.445000
5529,MZ320,459,2019-07-04,13:32:38.871000
5530,VOSTRO 14,447,2019-07-04,14:42:43.682000
5531,SUMMA 32,470,2019-07-04,16:07:04.449000
5532,EC-PM-80320,517,2019-07-04,16:07:11.072000
5533,XXXX,627,2019-07-04,16:25:41.449000
5534,rt3090,521,2019-07-04,17:37:58.283000
5535,DCP-T7000W,442,2019-07-05,12:48:06.522000
5536,WORKCENTER 5687,448,2019-07-05,12:55:08.225000
5537,SATELLITE A215,504,2019-07-05,15:33:20.167000
5538,BIXOLON SRP-310,128,2019-07-05,18:08:12.833000
5539,XPRESS M2020W,128,2019-07-06,12:21:13.588000
5540,DVD-R155,128,2019-07-06,12:54:56.529000
5541,B412C,441,2019-07-08,09:38:50.236000
5542,ASPIREV5-431-2875,373,2019-07-08,13:03:00.751000
5543,OFFICEJET 7612,449,2019-07-08,16:55:45.635000
5544,GT-P5110,128,2019-07-09,10:24:33.218000
5545,2600,508,2019-07-09,14:34:06.045000
5546,BACK-UPS600,403,2019-07-09,17:42:34.758000
5547,h19k15e,628,2019-07-09,17:45:59.284000
5548,E943FWS,553,2019-07-11,12:46:33.190000
5549,P2015DN,449,2019-07-11,14:08:11.369000
5550,F176,629,2019-07-12,09:46:25.215000
5551,ER-350ll,563,2019-07-12,15:00:34.820000
5552,SERFACE PRO 1796,630,2019-07-12,15:10:44.843000
5553,MP-25DV,443,2019-07-12,16:18:36.594000
5554,MP 11DX,443,2019-07-12,16:26:47.342000
5555,80XV IDEAPAQ 320-15AST,446,2019-07-15,10:52:52.837000
5556,LCD&PC,590,2019-07-16,14:23:24.186000
5557,L3110,441,2019-07-16,16:24:47.023000
5558,SATELLITE L45-B4380PM,504,2019-07-17,10:13:07.742000
5559,LASERJET P1102W,449,2019-07-17,13:05:35.571000
5561,p120dh,443,2019-07-17,13:46:09.739000
5562,el1801piii,140,2019-07-17,13:47:26.721000
5563,n16q3,373,2019-07-18,09:50:25.925000
5564,1500PFCLCD,473,2019-07-18,10:37:10.985000
5565,GT3246M,521,2019-07-18,11:21:27.356000
5566,SATELITE A665-SP6002M,504,2019-07-18,12:34:31.102000
5567,BE301,632,2019-07-19,09:53:57.691000
5568,OFFECE JET 8100,449,2019-07-19,10:13:20.464000
5569,L805,441,2019-07-19,10:26:04.445000
5570,15-AW003LA,449,2019-07-19,14:49:03.946000
5571,5PX 2200,598,2019-07-19,15:02:11.127000
5572,W2043SV,270,2019-07-19,18:10:33.757000
5573,SCX-4600,128,2019-07-19,18:11:59.055000
5574,EC-PM-5895X,517,2019-07-22,12:31:26.698000
5575,TANK WIRELES 415,449,2019-07-22,13:03:19.065000
5576,PRO 8600,449,2019-07-22,14:28:31.378000
5577,LASER JET3050,449,2019-07-23,11:44:06.829000
5578,MFCJ 6920DW,442,2019-07-23,14:02:10.731000
5579,INTEL CORE I5,550,2019-07-24,10:21:55.113000
5580,RS 1200,403,2019-07-24,11:56:35.526000
5581,N17Q2,373,2019-07-24,12:21:51.204000
5582,PRESARIO CQ56,602,2019-07-25,10:40:02.218000
