ID del Cliente,Edad del Niño,Sexo del Niño,Nivel de Estudios del Padre,Duración de la Subscripción (meses),Plan de Subscripción,Ingresos del Hogar (USD),Gasto Total en Subscripción (USD),Número de Sesiones por Semana,Nivel de Satisfacción del Cliente,Churn,Valor del Tiempo de Vida (LTV)
162,8,Masculino,High School,16.0,Básico,79267.13,112.0,1.13,3.71,1,1199.2
163,17,Masculino,Undergraduate,3.0,Básico,38403.75,21.0,2.88,3.85,1,722.97
164,6,Femenino,High School,23.0,Básico,50007.5,230.0,1.24,3.47,0,813.31
165,4,Masculino,Undergraduate,21.0,Básico,52944.57,210.0,1.85,3.83,0,1126.51
166,8,Femenino,Undergraduate,9.0,Básico,38032.79,63.0,2.57,3.27,1,600.92
167,13,Masculino,High School,28.0,Premium,59425.73,560.0,8.49,4.89,0,1538.56
168,10,Femenino,Undergraduate,4.0,Básico,46407.39,28.0,2.38,4.57,1,713.27
169,17,Femenino,High School,21.0,Básico,33985.48,147.0,4.21,3.72,1,605.47
170,10,Femenino,Graduate,5.0,Básico,45806.48,35.0,4.1,4.19,1,758.59
171,14,Masculino,Graduate,11.0,Básico,35034.88,77.0,4.37,3.88,1,819.96
172,12,Femenino,High School,26.0,Premium,65549.7,520.0,5.63,3.96,0,1236.33
173,13,Masculino,Graduate,9.0,Básico,78523.39,63.0,1.0,2.18,1,1263.4
174,13,Femenino,Undergraduate,31.0,Premium,53672.29,620.0,5.99,4.52,0,1368.76
175,15,Femenino,High School,8.0,Premium,51669.15,112.0,7.07,5.0,1,790.82
176,16,Masculino,High School,6.0,Básico,52286.52,42.0,2.99,3.99,1,840.87
177,6,Masculino,Undergraduate,29.0,Premium,67733.51,580.0,8.22,5.0,0,1823.88
178,10,Femenino,Graduate,11.0,Básico,67410.49,77.0,3.53,3.21,1,984.63
179,4,Masculino,Graduate,9.0,Básico,48265.2,63.0,2.83,4.37,1,1009.01
180,7,Masculino,High School,34.0,Premium,53788.85,680.0,7.33,4.53,0,1588.84
181,16,Masculino,High School,15.0,Básico,59789.7,105.0,3.4,3.79,1,981.44
182,7,Femenino,Undergraduate,23.0,Básico,32934.69,161.0,1.0,3.19,1,643.59
183,17,Femenino,High School,33.0,Premium,68189.12,660.0,4.95,4.55,0,1412.42
184,8,Masculino,High School,8.0,Premium,76022.48,112.0,7.6,5.0,1,1234.45
185,10,Femenino,High School,1.0,Básico,67475.48,7.0,1.86,3.02,1,749.45
186,10,Masculino,Graduate,20.0,Básico,31316.09,140.0,2.44,2.81,1,783.89
187,16,Masculino,Graduate,22.0,Básico,20449.99,154.0,2.02,3.41,1,698.57
188,14,Masculino,Undergraduate,19.0,Básico,60630.78,133.0,4.72,3.74,1,1121.05
189,16,Masculino,Graduate,14.0,Básico,38597.16,98.0,4.75,5.0,1,968.84
190,7,Masculino,Undergraduate,17.0,Básico,54307.0,119.0,1.58,3.65,1,1022.22
191,16,Femenino,Undergraduate,22.0,Básico,73027.23,154.0,3.21,3.44,1,1045.62
192,10,Masculino,High School,14.0,Básico,40145.67,98.0,1.99,2.87,1,707.21
193,14,Femenino,Undergraduate,22.0,Premium,44336.68,440.0,6.32,4.04,0,1074.42
194,6,Masculino,Graduate,30.0,Premium,54150.84,600.0,6.36,4.39,0,1796.23
195,9,Masculino,Undergraduate,14.0,Básico,30537.36,98.0,3.41,3.74,1,714.34
196,15,Masculino,Undergraduate,12.0,Básico,38632.16,84.0,3.33,4.38,1,834.08
197,5,Masculino,Undergraduate,16.0,Básico,50372.86,112.0,5.27,4.61,1,1024.21
198,13,Masculino,High School,6.0,Premium,45493.18,84.0,4.76,4.69,1,850.58
199,16,Femenino,Graduate,13.0,Básico,59126.12,91.0,1.36,3.11,1,904.76
200,17,Femenino,Undergraduate,17.0,Familiar,91489.69,510.0,7.64,5.0,0,1658.15
201,12,Masculino,Undergraduate,17.0,Básico,51487.08,119.0,1.23,2.99,1,947.7
202,8,Femenino,Undergraduate,12.0,Básico,37374.32,84.0,1.04,4.07,1,654.5
203,9,Femenino,Undergraduate,23.0,Básico,71273.61,161.0,1.6,3.23,1,1024.64
204,15,Femenino,High School,19.0,Básico,26167.72,133.0,2.08,3.37,1,506.97
205,15,Femenino,Undergraduate,6.0,Básico,29166.38,42.0,2.05,2.3,1,444.23
206,15,Femenino,High School,12.0,Premium,41073.45,168.0,6.28,4.71,1,732.65
207,15,Femenino,Graduate,1.0,Básico,45756.7,7.0,2.49,3.92,1,713.25
208,7,Femenino,Graduate,6.0,Premium,40713.91,84.0,4.43,4.13,1,753.27
209,17,Femenino,Graduate,34.0,Premium,49527.32,680.0,7.04,4.58,0,1516.61
210,17,Masculino,Undergraduate,5.0,Básico,54121.13,35.0,2.37,3.87,1,931.34
211,14,Femenino,Undergraduate,11.0,Premium,66034.39,154.0,5.0,4.03,1,1005.92
212,13,Femenino,High School,16.0,Básico,51367.82,112.0,3.23,4.18,1,751.0
213,10,Masculino,Graduate,16.0,Básico,41570.81,112.0,1.0,2.93,1,890.21
214,15,Femenino,High School,14.0,Básico,65219.68,98.0,1.0,3.01,1,810.43
215,12,Masculino,Undergraduate,1.0,Básico,37734.27,7.0,3.15,3.07,1,650.63
216,10,Masculino,High School,13.0,Básico,25510.96,91.0,3.16,3.82,1,590.86
217,17,Femenino,High School,25.0,Premium,68089.34,500.0,8.8,5.0,0,1287.8
218,4,Femenino,Undergraduate,10.0,Básico,67127.8,70.0,2.42,3.88,1,925.71
219,4,Masculino,High School,24.0,Básico,38115.52,168.0,3.09,3.19,1,779.25
220,12,Masculino,Graduate,15.0,Premium,44013.52,210.0,5.91,5.0,1,1188.18
221,14,Masculino,Undergraduate,9.0,Básico,36246.09,63.0,3.23,3.49,1,725.82
222,17,Masculino,High School,13.0,Básico,54899.36,91.0,4.8,4.65,1,959.6
223,12,Femenino,Undergraduate,8.0,Premium,75980.74,112.0,2.01,4.57,1,1089.52
224,7,Masculino,High School,18.0,Básico,60543.23,126.0,2.88,2.1,1,920.32
225,16,Femenino,High School,20.0,Básico,65535.87,140.0,5.2,3.54,1,875.05
226,12,Masculino,Graduate,7.0,Premium,62295.92,98.0,6.62,5.0,1,1281.67
227,6,Masculino,High School,17.0,Básico,49998.21,119.0,4.05,3.89,1,894.61
228,10,Masculino,Graduate,19.0,Básico,66250.11,133.0,2.04,2.9,1,1241.17
229,9,Masculino,High School,23.0,Básico,61175.46,161.0,2.57,3.2,1,1025.85
230,11,Femenino,High School,18.0,Premium,71591.69,252.0,5.15,3.88,1,1045.78
231,14,Femenino,Graduate,18.0,Premium,43106.77,360.0,2.07,4.22,0,1082.44
232,12,Femenino,Undergraduate,1.0,Básico,23928.33,7.0,1.63,4.43,1,463.19
233,17,Femenino,High School,2.0,Básico,65678.77,14.0,2.04,3.81,1,775.15
234,8,Masculino,Undergraduate,1.0,Básico,55246.54,7.0,3.36,4.77,1,965.31
235,4,Femenino,High School,24.0,Básico,45559.31,240.0,3.14,4.07,0,809.14
236,6,Femenino,Graduate,5.0,Básico,46397.71,35.0,2.72,4.06,1,758.06
237,13,Masculino,Undergraduate,35.0,Familiar,88320.29,1050.0,10.0,5.0,0,2641.68
238,15,Masculino,Graduate,3.0,Básico,40367.08,21.0,2.84,3.76,1,808.45
239,11,Masculino,Graduate,7.0,Básico,37200.45,49.0,3.94,3.69,1,799.49
240,14,Masculino,Undergraduate,24.0,Básico,51279.26,240.0,2.94,4.1,0,1159.22
241,9,Femenino,Graduate,22.0,Básico,67707.36,220.0,2.66,4.26,0,1198.8
242,11,Femenino,Undergraduate,24.0,Familiar,84176.03,720.0,7.04,5.0,0,1793.64
243,12,Masculino,Graduate,23.0,Básico,59860.47,161.0,3.48,3.34,1,1222.86
244,7,Masculino,High School,18.0,Básico,30943.87,126.0,2.05,3.48,1,670.3
245,4,Femenino,Undergraduate,24.0,Básico,79562.96,240.0,3.24,4.06,0,1226.46
246,17,Masculino,Undergraduate,21.0,Básico,49707.97,147.0,2.0,3.8,1,1009.19
247,4,Femenino,Undergraduate,7.0,Básico,37434.36,49.0,1.17,2.52,1,543.92
248,13,Femenino,Undergraduate,1.0,Básico,33809.11,7.0,3.55,4.67,1,572.64
249,7,Masculino,Graduate,5.0,Básico,62544.93,35.0,2.38,3.16,1,1080.03
250,15,Masculino,High School,17.0,Básico,53582.44,119.0,2.55,3.38,1,906.02
251,17,Masculino,High School,8.0,Básico,55176.13,56.0,4.02,3.35,1,852.97
252,10,Femenino,Graduate,15.0,Básico,69297.55,105.0,2.06,4.76,1,1118.91
253,5,Masculino,Undergraduate,20.0,Básico,37967.68,140.0,2.13,3.55,1,843.44
254,6,Femenino,Graduate,4.0,Básico,70492.32,28.0,3.8,3.33,1,971.61
255,4,Femenino,Graduate,2.0,Básico,42212.64,14.0,3.81,4.19,1,697.45
256,8,Masculino,Graduate,5.0,Básico,82460.11,35.0,4.11,4.21,1,1412.25
257,4,Masculino,Graduate,1.0,Básico,58981.09,7.0,1.98,3.3,1,1005.79
258,11,Masculino,High School,5.0,Básico,36196.42,35.0,3.96,4.21,1,668.38
259,4,Masculino,High School,6.0,Básico,20000.0,42.0,1.32,2.85,1,423.0
260,14,Masculino,Graduate,7.0,Premium,62133.87,98.0,5.04,4.43,1,1242.09
261,4,Masculino,Undergraduate,1.0,Básico,44387.3,7.0,1.0,2.19,1,678.35
262,5,Femenino,High School,4.0,Básico,47666.51,28.0,4.01,3.14,1,595.47
263,5,Femenino,Undergraduate,12.0,Premium,61492.94,168.0,3.2,5.0,1,1022.6
264,15,Femenino,Graduate,22.0,Básico,65156.21,220.0,2.87,4.4,0,1178.64
265,9,Femenino,Undergraduate,1.0,Básico,68355.66,7.0,1.69,3.37,1,850.51
266,10,Masculino,Undergraduate,1.0,Básico,32377.38,7.0,3.36,4.5,1,672.72
267,8,Masculino,Undergraduate,13.0,Premium,71388.42,182.0,5.24,4.59,1,1361.75
268,4,Femenino,High School,20.0,Básico,41314.32,140.0,1.0,3.08,1,636.35
269,4,Femenino,Undergraduate,16.0,Básico,20000.0,112.0,2.71,3.57,1,485.59
270,6,Masculino,Undergraduate,21.0,Básico,32323.39,147.0,1.0,3.14,1,758.8
271,17,Femenino,High School,18.0,Premium,53270.38,360.0,4.44,4.47,0,1004.56
272,5,Masculino,Graduate,23.0,Básico,35317.79,161.0,1.0,3.77,1,927.65
273,8,Masculino,Undergraduate,29.0,Premium,48679.33,580.0,3.66,4.52,0,1564.16
274,15,Masculino,Graduate,23.0,Básico,55073.79,230.0,3.18,3.99,0,1294.04
275,13,Masculino,Graduate,23.0,Premium,47279.22,460.0,3.35,4.83,0,1550.18
276,9,Masculino,High School,20.0,Básico,42584.68,140.0,1.12,3.42,1,810.41
277,10,Femenino,Undergraduate,10.0,Básico,31239.56,70.0,2.66,3.05,1,529.43
278,7,Masculino,Undergraduate,12.0,Básico,50329.16,84.0,1.92,2.71,1,874.47
279,10,Masculino,Graduate,1.0,Básico,20000.0,7.0,4.66,4.01,1,537.64
280,14,Femenino,High School,10.0,Básico,39710.03,70.0,4.77,3.87,1,594.44
281,11,Masculino,Undergraduate,9.0,Básico,36083.24,63.0,1.87,3.42,1,719.55
282,14,Masculino,Undergraduate,8.0,Premium,46409.35,112.0,7.24,4.9,1,993.4
283,4,Masculino,High School,19.0,Básico,46800.05,190.0,3.02,4.89,0,993.02
284,9,Masculino,High School,31.0,Premium,64399.35,620.0,5.0,4.09,0,1615.53
285,11,Masculino,Undergraduate,9.0,Básico,73752.16,63.0,1.24,2.25,1,1104.91
286,8,Masculino,Graduate,10.0,Básico,33233.32,70.0,2.52,3.67,1,773.33
287,7,Masculino,Undergraduate,24.0,Premium,79892.49,480.0,5.44,4.53,0,1821.54
288,5,Masculino,Undergraduate,16.0,Básico,38310.57,112.0,1.9,3.54,1,813.1
289,9,Masculino,Undergraduate,29.0,Premium,52587.9,580.0,6.56,5.0,0,1640.61
290,9,Masculino,Graduate,18.0,Básico,57662.94,126.0,1.85,4.01,1,1192.26
291,14,Masculino,High School,25.0,Familiar,86668.74,750.0,6.7,4.72,0,2037.81
292,4,Femenino,Graduate,3.0,Básico,41865.76,21.0,2.38,3.2,1,647.46
293,12,Masculino,High School,2.0,Básico,23048.93,14.0,3.19,3.85,1,480.77
294,15,Masculino,Undergraduate,1.0,Básico,72355.69,7.0,1.82,3.75,1,1110.84
295,14,Femenino,High School,18.0,Básico,37499.4,180.0,3.86,4.87,0,718.6
296,9,Masculino,High School,29.0,Premium,44576.17,580.0,3.24,4.79,0,1391.67
297,16,Femenino,Undergraduate,9.0,Básico,33233.76,63.0,2.49,3.47,1,563.12
298,6,Femenino,High School,13.0,Básico,44619.44,91.0,2.14,2.98,1,617.72
299,7,Masculino,Graduate,2.0,Básico,37394.13,14.0,1.83,3.08,1,715.62
300,15,Femenino,High School,7.0,Básico,60146.63,49.0,2.43,3.19,1,729.0
