CLIENTE,DESCRIPCION FALLA,INGRESO,FECHA REPARACION,CLUSTER,SIMILITUD COSENO,COHORT
3,"no cierra la tapa   se corrigio problema de tapa marca un error de unidad de imagen o toner
se hizo pruebas conb toner de pruebas y sigue marcando error se pidio unidad de imagen a cliente para hacer pruebas

falta de resorte de actuador de papel unidad de fundido mal acomodada ivaaceptado

cambio de toner  para mejorar calidad   netoaceptado",770.0,07/04/2020,Impresora Laser,0.4089559,2017-11-22
3,"marca hoja atorada  revision general   pieza quebrada para cerrar tapa de adf

mantenimiento y reparacion de la traccion de papel ivaaceptado",730.0,26/03/2020,Sistemas,0.34213057,2017-11-22
3,"no imprime nada a color scables tanque de tinta llenos destapado de cabezal ivaa

reset ivaa

contador al 
almohadillas al   aprox de uso

total iva",1360.0,15/09/2020,Impresora Tinta,0.4212429,2017-11-22
3,"mantenimiento  si se puede conseguir panel de botones y lo que se tenga que reemplazar   tractor roto cambio de engranes rodillo de traccion combinacion cambio mantenmimiento cabeza impresora cable flex de cabeza

no hay refacciones para su reemplazo  incosteable 

se ofrecio una epson lxii ivaa

       se quedo en asisa para hueso",800.0,03/11/2020,Sistemas,0.23922767,2017-11-22
3,"imprime desfasado y se escucha un tronido scables mantenimiento y acomodo de sistema de engranaje ivaa
cambio de goma  netoa

total  netoa",930.0,17/03/2021,Sistemas,0.32511565,2017-11-22
3,"imprime y se bloquea aleatoriamente manda un numero de error y no impreme  se reinicia y ya vuelve a imprimir scables error a error de fusor esta en buen estado
tarjeta logica daada algun alto voltaje la dao pero no en su totalidad

se regresa sin reparacion",121.5,19/02/2021,Impresora Laser,0.4361601,2017-11-22
3,"trae tintas comestibles y esta tapada   reset ivaa
cambio de almohadillas ivaa
destapado de cabezal ivaa

total ivaa",1880.0,31/05/2021,Impresora Tinta,0.41574785,2017-11-22
3,"esta tapado el color magenta y cian mancha de tinta por la parte de abajo cable energia integrado traer cartucho amarillo est  neto xl  neto
limpieza profunda lavado de tarjeta iva
destapado de cabezal iva

se regresa sin reparacion",1910.0,13/05/2021,Impresora Tinta,0.42231223,2017-11-22
3,"revisar que es lo que requiere para su funcionamiento sin cables buen mantenimiento ivaa
cambio de goma  netoa
cambio de pad  netoa

total  netoa

trae dos piezas quebradas accionadores de puerta nop afectan a su funcionamiento reset de drum sin costo",2145.0,13/05/2021,Impresora Laser,0.23504703,2017-11-22
3,"immprime del centro a la orilla con cinta  sin tapa el carro esta sucio y la maquina viene limpia solo un poco empolvada
mantenimiento ivaa
requiere cambio de motor de traccion de papel ivaa
cambio de carro ivaa
cabeza impresora presenta leve destagaste de agujas pero no impide su funcionamiento

total ivaa",1960.0,17/06/2021,Sistemas,0.26458392,2017-11-22
3,"marca error de temperatura  muy alta sin cables buen mantenimiento  netono aceptado
lampara de fusor daada  netono aceptado

unidad de imagen presenta lineas requiere cambio dr 

se queda para basura electronica",5880.0,20/10/2021,Impresora Tinta,0.22871855,2017-11-22
3,"imprime con una mancha en una orillas con cable integrado no presento la  falla mencionada

equipo sucio mantenimiento ivaa",580.0,28/10/2021,Sistemas,0.36253056,2017-11-22
3,"no jala las hojas   buen mantenimiento  netoa
reparacion de selenide y traccion de papel  netoa
cambio de goma  netoa

total  netoa

totner presenta un rechinido no afecta a su funcionamiento",1030.0,12/03/2022,Sistemas,0.25780517,2017-11-22
3,"no jala las hojas e imprime los colores muy bajos con eliminador primeramente requiere cartuchos color y negro
no est imprimiendo nada despus de los cartuchos hacer pruebas y ver si requiere de algo ms

cartucho estandar negro  netono aceptado
cartucho estandar tricolor  netono aceptado

se deja para basura electronica",1430.0,07/04/2022,Impresora Tinta,0.3016031,2017-11-22
3,mantenimiento con eliminador completo buen mantenimiento ivaa,850.0,05/05/2022,Sistemas,0.5126209,2017-11-22
3,no da imagen cable integrado cambio de leds daados ivaa,350.0,26/05/2022,Otros,0.2778583,2017-11-22
3,"bisagras daadas escaneo una vez y despues se atoro con eliminador primeramente se tiene que cambiar set de bisagras daadas   neto te  a  dias habilesa

depsues hacer pruebas y validar si requiere de algo mas",380.0,23/06/2022,Sistemas,0.43995374,2017-11-22
3,"estaba imprimiendo y se taparon los cabezales   cabezales daados negro y tricolor  netoa
carga de tinta a sistema y cartuchos  netoa

total  netoa",1720.0,06/10/2022,Impresora Tinta,0.4369405,2017-11-22
3,"marca cambio de almohadillas sin cables botellas de tintas primero reset ivaa
y cambio de almohadillas ivaa

despues ver si requiere de algo mas

destapado de cabezal ivaa

total ivaa",1030.0,06/09/2022,Impresora Tinta,0.41782954,2017-11-22
3,"no jala las hojas y en ocasiones las mancha sin cables mantenimiento prev  netoa
cambio de ensamble de gomas  netoa
rep de traccion de papel  neto

total  netoa

esta pidiendo toner negro y marillo no los hay con los proveedores la mancha es por el toner amarillo",2032.0,06/10/2022,Impresora Tinta,0.3188704,2017-11-22
3,"se rompen las hojas sin cables guia de papel  netoa
mascarilla  netoa
servicio de cambio  netoa
cinta generica datapac  netoa

total  netoa",1960.0,07/01/2023,Sistemas,0.31219476,2017-11-22
3,"no imprime el color magenta sin cables con  botella de tinta comestible y  tinta normal destapado de cabezal  netoa


posiblemente pida reset y almohadillas",680.0,07/01/2023,Impresora Tinta,0.46704435,2017-11-22
3,"la computadora no la detecta sin accesorios trae el puerto usb flojo con falso primeramente se tendria que reemplazar ivaa

si no funciona se tendria que reemplzar la tarjeta logica posible dao no la hay

si autoriza y no queda se cobran iva por el material invertidoa",700.0,28/02/2023,Sistemas,0.25542012,2017-11-22
3,prende el led pero no da imagen sin base y sin cables reparacion fuente de poder ivaa,750.0,21/06/2023,Sistemas,0.26477936,2017-11-22
3,"no jala las hojas o no las jala   no nos dio problema que no jale la hoja sa la jala bien
cable flex mal acomodado

destapado de cabezal ivaa",580.0,09/06/2023,Impresora Tinta,0.3976267,2017-11-22
3,"mandas imprimir  hojas y saca un error y hace siclo de limpieza   goma de arrastre  netoa
goma de separacion  netoa
mant  netoa

total neto  netoa


nota el toner magenta requiere de cambio esta derramando",2040.0,18/07/2023,Impresora Laser,0.34254393,2017-11-22
3,"no jala las hojas en el adf en la bandeja  sin cables mantenimiento  netoa
cambio de goma bandeja   netoa
cambio kit engranes mov de fusor  netoa
pieza de traccion daada hueso  netoa

total  netoa",2570.0,15/08/2023,Sistemas,0.19076939,2017-11-22
3,"trae h oja atorada y saca una raya en la impresion   cambio de filmina  netoacep
goma de bandeja   netoacep
kit de gomas adf  netoacep
buen mantenimiento   ivaacep

total neto acep",3125.0,08/08/2024,Otros,0.39375523,2017-11-22
4,"rev gral toners el juego de cartuchos que envio el cliente sale un velo obscuro 
sustituir 

mantenimiento   iva",400.0,14/02/2018,Sistemas,0.38948333,2024-07-06
4,rev gral  ccompleta   servico   ,325.0,14/03/2018,Sistemas,0.44897702,2024-07-06
4,hojas con impresion mala tn rep de adf funda del fusor unidad de imagen mant  iva,930.0,14/02/2018,Impresora Tinta,0.26771453,2024-07-06
4,stoner   mantenimiento  ,300.0,14/02/2018,Impresora Tinta,0.46940094,2024-07-06
4,toner   funda de fusor mant  ,860.0,14/02/2018,Impresora Laser,0.5750997,2024-07-06
4,    cambio de tractor de papel mant  ,780.0,14/02/2018,Sistemas,0.35282043,2024-07-06
4,atora hojas  revision gral   mantenimiento tn cambio de guias de salida de papel buen mant  ,630.0,14/02/2018,Sistemas,0.36553165,2024-07-06
4," av hidalgo     manda impresion y atora hojas tn funda fusor buen mantenimiento y goma pick up 
   iva",800.0,14/02/2018,Impresora Tinta,0.3709421,2024-07-06
4,    destapado de cabezal    iva,400.0,14/02/2018,Impresora Tinta,0.53320426,2024-07-06
4,formatear srespaldo  cdd externo para revision de virus      iva,350.0,14/02/2018,Otros,0.22965798,2024-07-06
4,posible rodillo calor   serv a dos fusores mant  ,300.0,13/02/2018,Sistemas,0.4151733,2024-07-06
4,rev gral   rep de adf serv    iva,560.0,13/02/2018,Sistemas,0.29005724,2024-07-06
4,"marca error   repd e fusor serv    iva

regreso el dia feb  truenan algunos engranes",2398.0,13/02/2018,Impresora Laser,0.37234426,2024-07-06
4,"  tn serv de mant    iva
",480.0,20/04/2018,Impresora Laser,0.44215646,2024-07-06
4,"rv gral tn rodillo de calor y juego de uas separadoras de papel mantenimiento    iva

cartucho en mal estado  sustituir 
",800.0,24/04/2018,Impresora Tinta,0.38116637,2024-07-06
4,"mancha tn funda fusor mant    iva
",680.0,08/05/2018,Impresora Tinta,0.5296976,2024-07-06
4,"    electro iman de la traccion de papel 
mantenimiento iva
ensamble de gomas adf
goma alimentadora de papel charola 
electroiman de la traccion de papel 
total  iva",1730.0,02/11/2018,Impresora Laser,0.24099833,2024-07-06
4,"ruido en el laser
rodillo de calor al  de su vida todavia util pronto sustituirlo   ensamble de gomas
area de adf
buen mantenimiento   iva",1200.0,02/11/2018,Impresora Laser,0.50696754,2024-07-06
4,derramo tinta   mantenimiento   iva ,200.0,22/05/2018,Impresora Tinta,0.5728944,2024-07-06
4,"ctndr   sinsor de tambor 
mantenimiento   iva ",480.0,22/05/2018,Sistemas,0.43503553,2024-07-06
4,"ctndr   reparacion traccion papel kit de gomas alimentadoras 
mantenimiento   iva ",730.0,22/05/2018,Sistemas,0.26599947,2024-07-06
4,hace ruido   ajustes iva,380.0,09/07/2018,Sistemas,0.4655373,2024-07-06
4,"mantenimiento general no escanea el cristal   reparacion de escaner 
mantenimiento  iva",530.0,16/07/2018,Sistemas,0.40071568,2024-07-06
4,  sin eliminador funda fusor goma pick up y mantenimiento  iva,580.0,16/07/2018,Sistemas,0.41543236,2024-07-06
4,tienen tiempo si usarla   destapado de cabezal y serv  iva,480.0,06/08/2018,Impresora Tinta,0.39200383,2024-07-06
4,atora hojas   electroiman y serv mant iva,390.0,06/08/2018,Impresora Laser,0.4580614,2024-07-06
4,  clinica de los ojos almohadillas  reset y serv   iva,480.0,06/08/2018,Impresora Tinta,0.487709,2024-07-06
4,"    unidad de imagen 
toner 
kit de gomas 
sens de salida
mantenimiento 

se les aviso y no pasaron por el equipo 

 van para basura electronica",7000.0,03/01/2020,Impresora Laser,0.42246622,2024-07-06
4,truena    bateria y servicio iva,480.0,21/11/2018,Impresora Tinta,0.62518644,2024-07-06
4,    iva,480.0,27/09/2018,Otros,0.37129277,2024-07-06
4,"    disco duro malo no se puede recuparar informacion 
dd tb  neto 
ser iva
no se reparo",1282.0,02/11/2018,Sistemas,0.47687685,2024-07-06
4,"no escanea   equipo bloqueado por el mecanismo de carro de impresion ya se corrigio y ya escanea 

cabezal tapadomala calidad iva",120.0,15/10/2018,Sistemas,0.39683506,2024-07-06
4,"se escucha un rechinido   goma alimentadora de papel 
mantenimiento iva",460.0,15/10/2018,Sistemas,0.38917384,2024-07-06
4,puerto de red   iva,300.0,15/10/2018,Sistemas,0.41632795,2024-07-06
4,"mantenimiento y revision general ctonner en un equipo pad separador  neto 
goma pick up  neto 
mantenimiento iva",970.0,01/11/2018,Sistemas,0.3553467,2024-07-06
4,"reparacion traccion papel kit de gomas alimentadoras  mayo 
atora hojas con toner atoramientos por causa de toner derramado que es de mala calildad tira mucho
sustituir fotoconductor 
reset de suministros y servicio
se le dio puro manteniemiento y se hizo reset de suministrosiva",560.0,10/11/2018,Impresora Laser,0.43394005,2024-07-06
4,tiene una hoja atorada   reparacio de fusor y mantenimeitno iva,600.0,16/11/2018,Impresora Laser,0.46025595,2024-07-06
4,"no prende   se pidio ensamble de gomas del adf
goma alimentadora de papel charola 

pendiente toner para hacer pruebas


 neto",1580.0,11/06/2019,Impresora Laser,0.44412863,2024-07-06
4,mantenimiento y atora hojas   manteniemiento preventivo iva no aceptada,480.0,16/11/2018,Impresora Tinta,0.40551603,2024-07-06
4,marca herror con toner mantenimiento iva,400.0,16/11/2018,Impresora Laser,0.5880497,2024-07-06
4,marca deposito de residuo lleno   manteniemientoiva,480.0,16/11/2018,Impresora Tinta,0.33554426,2024-07-06
4,"atora las hojas   mantenimiento iva
cambio de gomas  neto
pat  neto

total  neto

contador",8001.8,21/08/2019,Sistemas,0.35570934,2024-07-06
4,"le ponen el cartcho que no tiene se ha probado con varios cartuchos   pad separador de papel 
mantenimiento 

neto 

debio de haber sido   iva  ",2545.0,11/01/2019,Impresora Tinta,0.3214364,2024-07-06
4,"marca algo en la pantalla bandeja y toner traia el deposito de descho lleno
 mantenimientoiva",480.0,08/03/2019,Sistemas,0.44019267,2024-07-06
4,"    toner negro  cyan  magenta  amarillo  tambor de unidad  sustituirlo finde vida la razon de que daja rayas
mantenimiento ",620.0,11/01/2019,Sistemas,0.36093464,2024-07-06
4,"atora hojas y hace mucho ruido   demasiado toner derramado manchas negras en los costados
juego de gomas alimentadoras iva
mantenimientoiva 
photoconductor kit exg sustituir

aprobada ",3019.0,28/03/2019,Impresora Laser,0.35655436,2024-07-06
4,al parecer se taparon los cabezales   destapado de cabezal iva,480.0,27/02/2019,Impresora Tinta,0.53731966,2024-07-06
4,"atora las hojas en la bandeja   pad separador de papel iva
mantenimiento iva",830.0,24/05/2019,Sistemas,0.36790445,2024-07-06
4,"atora las hojas   destapado cabezal rep traccion papel
nota recomendaciones normales de estos equipos 

iva",480.0,11/06/2019,Sistemas,0.28293836,2024-07-06
4,"derrama tinta   lavada del equipo por derrame de tinta iva quede o no quede

se queda para basura electronica",360.0,20/10/2020,Impresora Tinta,0.50499374,2024-07-06
4,"no imprime el negro   cambio de almohadillas y reset iva
mantenimiento iva

total iva",1280.0,18/07/2019,Impresora Tinta,0.44256765,2024-07-06
4,marca error y no jala el papel   reparacion del mecanismo de la traccion de papel iva,580.0,29/07/2019,Sistemas,0.34652853,2024-07-06
4,"marca atasco de papel abren bandeja y cierran y comienza a imprimir desde la pagina    sn 
  requiere cambio de cartucho
 teclado daado con falso contacto
servicio de mantenimiento iva

contador

sn 
 adfcon falla reparacion o cambio del soporte
 servicio de mantemiento iva

contador ",2259.0,17/08/2019,Sistemas,0.36033374,2024-07-06
4,"atora hojas en el fusor   mantenimiento general   urgente con toner tapa frontal daada requiere cambio iva
reparacion rodillo de fundido iva
 servicio de mantenimiento iva
engranes iva
total iva

tuvimos que conseguir la pieza por que la que traia estaba ya daada y no se pudo reparar con esas piezas",1800.0,17/08/2019,Impresora Laser,0.40414104,2024-07-06
4,"rev general   adf con falla reparacion o cambio del soporte
servicio de mantenimiento  iva

contador",680.0,17/08/2019,Sistemas,0.34583446,2024-07-06
4,"se atora la hoja y se apga el equipo ccartucho gen scables no se apago en ningun momento se relaizaron prebas
fusor en buen estado


requiere mantenimiento y cambio de goma ivaa",670.0,30/07/2020,Sistemas,0.37850186,2024-07-06
4,"se escucha mucho ruido y no jala hojas scables necesita cambio de toner esta derramando

necesita cambio de filiminacalidad original
mantenimiento esta muy sucio
rotacion de goma 

costo ivaa",880.0,10/08/2020,Impresora Laser,0.60256886,2024-07-06
4,"no jala las hojas mantenimiento scables primeramente reset ivaa
cambio de almohadillas ivaa

ojo se hicieron pruebas en  impresiones y si las esta jalando correctamente",555.0,01/12/2020,Impresora Tinta,0.42473274,2024-07-06
4,"no jala las hojas y marca papel atorado   toner daado pieza suelta a

mantenimiento y reparacion de traccion de papel ivaa",865.0,01/12/2020,Impresora Laser,0.43620893,2024-07-06
4,"parece que son los cabezales   solicitar cartuchoas amarillo y negro

destapado de cabezal ivaa",480.0,13/10/2020,Impresora Tinta,0.5550378,2024-07-06
4,"atora hojas y mantenimiento  rev general scables primeramente reset ivaa
cambio de almohadillas ivaa

despues revisar si requiere de algo mas

total ivaa",920.0,20/01/2021,Impresora Tinta,0.41890296,2024-07-06
4,"esta atorando cuando alimenta la hoja   goma iva y mantenimiento iva a

total iva",1340.0,06/01/2021,Sistemas,0.4350817,2024-07-06
4,"mancha hojas posiblemente derrama toner  revision de gomas y toner sin bandeja goma y cambio  netoa
mantenimiento mucho toner derramado ivaa

total  netoa",1683.2,26/01/2021,Impresora Laser,0.5318205,2024-07-06
4,"el sensor de papel esta fallando se mueve el papel y ya detecta las hojas   mantenimiento ivaa
goma  netoa

total  netoa",1626.8,20/02/2021,Sistemas,0.302794,2024-07-06
4,no detecta el cartucho   buen mantenimiento y reparacion del sensor de toner ivaa,580.0,23/02/2021,Impresora Laser,0.47259605,2024-07-06
4,"marca drum a su termino   primeramente es hacer reset del drim y mantenimiento ivaa
validar impresion y ver si requiere cambio de unidad de imagen

drum solo original  neto

imprimio bien no sabemos en cuanto tiempo pida cambio de drum",1630.0,19/03/2021,Impresora Laser,0.37944126,2024-07-06
4,"revision de fusor scables mantenimiento  netoa
rodillo de presion  netoa
filmina  netoa

total  netoa

goma de adf quebrada base se tiene que cambiar el kir completo  neto no aceptado
te  a  dias habiles",3330.0,16/02/2021,Otros,0.30230674,2024-07-06
4,"cambio de disco duro solido de  gb   mantenimiento preventivo ivaa
ssd  con sistema  netoa

recomendar gb memorioa ddr   netono acep",3483.0,02/02/2021,Sistemas,0.55552983,2024-07-06
4,"marca seguido error de tambor se atoran las hojas mantenimiento scables buen mantenimiento ivaa
rodillo de calor  netoa

requiere cambio de unidad de imagen

total ivaa",1993.8,17/02/2021,Sistemas,0.27675766,2024-07-06
4,"trabaja un rato y se calienta mucho   se realizaron pruebastemperatura alcanzada depues de imprimir  
toner derramado 

no presenta falla",77.2,15/02/2021,Impresora Laser,0.4503111,2024-07-06
4,"no enciende   al conectarse prende pero en la segunda prendida ya no aparece nada

reparacion fuente ivaa",480.0,28/04/2021,Sistemas,0.38009235,2024-07-06
4,al comnectarla trabaja bien y despues de un tiempo marca error y marca numero crollo y porta papel entintador y mantenimiento ivaa,330.0,23/02/2021,Sistemas,0.3792087,2024-07-06
4,"todo lo imprime con un velo amarillo scables ccharola de papel mantenimiento preventivo ivaa

cambiar toner a amarillo",580.0,20/02/2021,Impresora Laser,0.46901184,2024-07-06
4,"atora las hojas  y en duplex mas ccable integrado mantenimiento preventivo ivaa
no presento problemas con duplex",480.0,12/03/2021,Sistemas,0.2734662,2024-07-06
4,"imprime toda la hoja negra scables cambio de toner derramando 
reparacion de sensor de toner ivaa
mantenimiento ivaa

no se puede validar hasta no hacer la reparacion",580.0,05/03/2021,Impresora Laser,0.6013094,2024-07-06
4,"mancha negra en  las orillas scables requiere cambio de unidad de imagen dr  netolo trajo el cliente
rodillo de presion  netolo trajo el cliente
mantenimiento ivaa
tarjeta de fusor sensor ivaa

total iva

 se compro impresora ",4255.0,22/04/2021,Impresora Laser,0.309882,2024-07-06
4,"ensucia mucho y encima reglones sin cables el fusor hace ruidos por que el armazon del fusor esta chueco sino se reemplaza puede daar el fusor y el sistema de engranaje

mantenimiento ivaa
armazon de fusor ivaa
toner mala calidad

total ivaa",1460.0,12/04/2021,Impresora Laser,0.51178014,2024-07-06
4,"marca cambio de almohadillas esta derramando tinta sin cables reset ivaa
almohadillas y cambioivaa
goma de arrastre y cambio lisa ivaa

total ivaa

se factura en iva  de nota",2520.0,25/05/2021,Impresora Tinta,0.33844352,2024-07-06
4,"pinta las hojas con lineas delgadas de colores  como arcoiris  sin cables requiere cambio de toner en tdos los colores  los que trae estan bajos y presentan mala calidad

requiere un buen mantenimientomuy sucia ivaa",780.0,15/04/2021,Impresora Laser,0.33172804,2024-07-06
4,"marca un error i no deja sacar copias  pero si imprime sin cables el error es del escaner esta trabado fuera de posicion
acomodo y mantenimiento solo al escaner ivaa

impresora limpia

se abonan iva nota
facturar en ivaa",900.0,18/05/2021,Sistemas,0.3448521,2024-07-06
4,"atora hojaas   traa polvito en la goma del mismo que genera la hoja le costaba trabajo tomar las hojas se limpio la goma se realizaron  pruebas y est trabajando bien

garantia",80.0,21/06/2021,Sistemas,0.3815911,2024-07-06
4,"atorala las hojas y no las jala de la bandeja ni manual   buen mantenimiento ivaa
goma de bandeja   neto a
goma de bandeja   netoa

total a

se abonan  de nota

se factura en  netoa",1594.0,25/06/2021,Sistemas,0.32934278,2024-07-06
4,"esta imprimiendo la mitad bien y la otra mal con bandeja de papel requiere un buen mantenimiento muy sucia y rotacion de goma  ivaa

cambio de unidad de imagen mala calidad y toner de color bajos  los tare el cliente
nota no trae la bandeja de recepcion de hojas
solo se acepta mantenimento y rotacionde goma el cliente traera la unidad de imagen
se facturan los  restantes de la nota saldada
total iva",1320.0,20/07/2021,Impresora Laser,0.31303227,2024-07-06
4,"no jala hojas sin cables buen mantenimientomuy sucia ivaa
cambio de goma  netoa

engrane de movimineto de fusor media vida

total  netoa  se aumenta  por la nota

se factura en  neto",2454.0,13/07/2021,Sistemas,0.28733435,2024-07-06
4,"atora las hojas del duplex y algunas veces trabaja bien cable  incluido se realizaron pruebas en duplex doble cara y no presento ningun problema de atoramiento

se ofrecio mantenimiento preventivo ivaa",480.0,24/08/2021,Impresora Laser,0.19974686,2024-07-06
4,"no detecta el cierre de la tapa frontal marca siempre abierta con cable de energia y toner reset    ivaa
mantenimiento   ivana
no presenta problema mencionado
equipo  presenta alerta de cambio de toner no se detecta lla en la puerta
requiere reset y servicio de limpieza",780.0,18/08/2021,Impresora Laser,0.46932465,2024-07-06
