CLIENTE,COMBINADO,INGRESO
20,"marca error   mantenimiento 
rep de palanca de cabezales cartucho azul ca 
rep de avance de papel   iva
",5271.0
153,"atorada tn cartucho de toner   neto
pad separador mant    iva

equipo bloqueado",944.0
41,"marca atasco de papel  tndr   rep de fusor y mant    iva

unidad de imagen con mala calidad  sustituir

fusor en mal estado  recubrir rodillo de calor  

dr    neto 
",1436.0
90,    rep de tarjeta logica    iva,700.0
14,"mantenimiento manchando hojas tn remanufactura unidad de imagen 

se requiere para poder diagnosticar bien el equipo 

   iva",700.0
97,atora carro a veces atora corrector tapa cambiarla  rota  cinta corrector margarita    iva,360.0
17,no jala papel tn goma pick up mantenimiento    iva,580.0
17,"  tn buen mantenimiento    iva


cartucho en mal estado traba todo el mecanismo de el equipo  sustituir",340.0
156,cabezal tapado   deestapado de cabezal    iva,480.0
156,cabezal tapado   destapado de cabezal    iva,480.0
58,"no recorre feed cinta cambio de swithc    iva
",200.0
158,       iva,360.0
160,"en ocasiones no prende      iva
fuente de alimentacion",425.0
159,traccion del papel  ctoner y charola ctapa   rep de traccion de papel serv    iva,360.0
26,       iva,200.0
161,no prende   cambio de transformador    iva,260.0
50,respaldar y formatear  celim scable   gb ddr  mhz,800.0
26,rev gral      iva,200.0
162,  tn   de las dos,400.0
163,cabezal tapado   destapado de cabezal y serv    iva,400.0
32,no funciona   rep de tarjeta electronica y mant  ,890.0
166,"rev gral sin cartuchos de tinta cartuchos agotados y en conflicto sustituir  

problemas con la traccion de papel 

sin costo",901.0
70,atora papel sin porta rollo    iva,260.0
99,impresion   destapado de cabezal servicio   iva,430.0
168,mouse y bisagras      iva,480.0
99,almohadillas   reset cambio de almohadillas cservicio     iva,480.0
20,"rev gral   cambio de  baterias v ah  cu  iva

mantenimiento    iva

total   iva",1200.0
167,    servicio y bateria vah    iva,470.0
83,"stoner   rev gral     

desbloqueo del equipo rep de traccion de papel mant",530.0
168,no prende  le cayo cafe   se lavo la tarjeta ya prende todo funciona bien excepto el mouse      iva,830.0
69,formatear cw      iva,500.0
157,cargar programas   ,300.0
5,se reinicia eliminador mantenimiento   ,480.0
17,"  tn conector usb daado 
sensor de salida de papel bandera
goma pick up      iva",580.0
170,"rev gral   mecanismo del adf sin funcionar 
 est anulado el conector que va a la tarjeta logica 

unidad de revelado con toner y revelador 
unidad de imagen  cilindro y cuchilla
charola multiusos guia recolectora de deshecho
buen mantenimiento trae bichos charola trasera multiusos    
falta adf",950.0
171,    mantenimiento     ojo cinta no funciona,250.0
74,ruidos eliminador con cable engranes y motor est de servicio    iva,880.0
167,"    servicio y cambio de dos baterias v  ah 
   iva",940.0
125,"maltrata y atora las hojas muestras ctoner   goma pick up charola  servicio a fusor mant 
   iva

",780.0
158,"    ep de tarjeta logica  baterias v  ah servicio   iva
",2320.0
172,rev gral  con un solo elim ccable   rep traccion de papel y mant iva,630.0
156,"checar bateria eliminador sin cable adaptador   neto 

bateria mala ni siquiera la detecta   neto 

bateria   iva",2216.0
161,rev gral portarollo    iva,260.0
175,"no prende   dos conectores  acer escaner y mant    iva
",840.0
254,svideo   falta elim   rep tarjeta madre   iva ,1200.0
187,"impresion con linea blanca cartuchos equipo con error al intentar imprimir error e y e 
cabezal tapado 
   iva",250.0
187,en ocasiones hace ruido extrao y no detecta hojas en bandeja superior  se prende y apaga la pantalla     iva,250.0
17,"rev gral   s  rep de traccion de papel serv   iva

s  cambiar contactos del cartucho mant    iva
",4817.0
17,"rav gral   cambio mecanismo de traccion de papel 
cambio de bisagra 
buen mant equipo mal intervenido 
  

equipo ya intervenido
no traia muchos tornillos y trae bisagra derecha quebrada 
no detecta la hoja marca error bisagracambio de traccion de papel mecanismo servicio ",690.0
175,"manchas y mant   rep de contactos de cartuchos y mant    iva
",420.0
38,"  toner cable de red traccion de papel se cambio goma pick up mant   iva
",560.0
176,"    teclado faltante 
fuente daada iva",450.0
33,"atora y mancha las hojas   funda de fusor  delgada  
goma pick up  charola   
buen mantenimiento 
   iva
",920.0
177,no prende   estaba el switch puesto en  volts tarjeta madre daada,230.0
137,"  eliminador sin cable cambio de gomas pick up y servicio    iva
",640.0
176,  sin cartucho electroiman de la traccion de papel mant    iva,520.0
5,"rev gral   destapado de cabezales mant    iva
",450.0
178,"rev gral tn problemas en la alimentacion del area adf atoramientos en el fusor 

mantenimiento gral    iva
",530.0
178,"toma hojas de mas  rev gral tn lineas al escanear o copiar por adf 
gomas pick up  area adf pad separador de papel charola   electroimanes 
mantenimiento profundo 
  iva
",200.0
137,  eliminador sin cable mantenimiento   iva,480.0
33,"rev gral humberto calderon     revisar adaptacion de goma pickup 
mantenimiento 

no acepta la reparacion  no es costeable por obsoleto

se  mando a la basura despues de  ao y medio",850.0
33,puerto de comunicacion celim scable y adaptador usbparalelo   cambio de jack energia ajustes de impesor mant    iva,600.0
83,"atora las hojas e imprime con rallas   goma pick up rodillo de calor recubrir mant  

no funcionan los botones del panel de control ",680.0
18,maltrata las hojas  y no las toma o toma hojas de mas   mant  rep de traccion de papel    iva,450.0
20,mant cartuchos rep de traccion de papel seguro de cabezales mant    iva,1360.0
46,"posible pantalla   no tenemos para descartar pantalla o cable 
eliminador sin cable 

pantalla  neto 
",71.0
33,"ruidos de posible ventilador y mantenimiento cartuchos rep de ventilador   
mantenmiento    
todo mas iva ",1100.0
180,"atora hojas tn pad separador de papel mant repd e traccionpapel 
   iva",730.0
121,"no entra windows elim scable disco duro malo tambien eliminador y bateria malos 

dd  tb   
serv   iva
",1300.0
17,"ctoner   escaner daado 
funda de fusor  
fuente  
mant  
",1090.0
205,"al prenderla inmediatamente se apaga       si hay que formatear sin respaldo eliminador sin cable el eliminador no es el adecuadro   

baeria mala no toma carga 
",480.0
17,"ctoner   rechinido  solicitar toner para descartar 
pad separador de papel mant    iva
",530.0
29,prende y apaga el signo de gota   servicio reset tintas    ,250.0
50,goma pickup y mant   iva      iva,525.0
206,"formatear  con respaldo de informacion    programa ilustrador y el adobe premier eliminador sin cable    iva
",150.0
5,mala impresion segun muestra   mantenimiento    iva,300.0
212,"  cinta rollo guia papel motor swithc avance papel mant    iva
",730.0
30,"no toma las hojas  y rev gral   cartucho tonerdejan velomuy pronto sustituir 

charola partes quebradascambiar 
charola de papel
mantenimeinto
servicio al laser 
  iva

lomas altas 
",1295.0
5,"no enciende toner rep de fuente de poder mant    iva
",550.0
182,"linea en poantalla   celim scable   pantalla y mano de obra   iva
",1500.0
20,se apaga   primavera   cambiar pasta conductora y mant a ventiladores    iva,250.0
99,"revision gral cartucho negro encoder lineal actuador del mecanismo  traccion de papel mantenimiento    iva
",450.0
161,"revision completa      iva
",260.0
63,"traccion de papel   electroiman traccion de papel mant    iva
",480.0
32,rev gral   cambio de bateria v ah servicio     iva,450.0
90,    cambio de bateria v ah y servicio    iva,450.0
186,formatear sin respaldar informacion eliminador sin cable    iva,400.0
105,marca cojinete daado   cambio de almohadillas reset de equipo destapado de cabezales   iva,530.0
186,"instalar office y actualizar antivirus eliminador sin cable    iva
",150.0
208,revison gral   ,70.0
209,"se apaga   cambio de fuente de poder 
  
",160.0
598,"falla el motor scables mantenimiento  neto a
engranes  neto a
motor principal de fusor  netoa

total  netoa",2440.0
515,mancha las hojas   funda del fusor   iva,700.0
64,"no carga posible jack  celim scable   no prende 
eliminador y jack estan bien  posible tarjeta con corto 

rep de fuente de poder interna    iva
",700.0
213,"sufrio golpe    mala imagen sin eliminador pantalla nueva y no da video 

cable conector pantalla  mb     iva
",785.0
47,"quitar ventilador y pasar num de parte elim ventilador daado  ellos lo proporcionaron  

mano de obra    iva
",480.0
20,"no respalda   cambio de  baterias v ah y servicio 
marca csb iva
marca epcom ivaa",530.0
41,"rev gral   una bateria v ah    iva
",430.0
17,"impresion sucia     mantenimiento    iva

ojo fusor malo 

no acepto cliente 
",460.0
562,"no enciende celiminador intel core i ta gen gb ram ddr mhz gb dd
se realizo reballing por segunda ocacion y limpieza a tarjeta madre
recoemdar base enfriadora

total ivaa

nota traia mucho polvo el ventilador y el equipo por dentro sin garantia",2700.0
174,cinta y tractor stapas   ,730.0
17,"ruidos checar si es rentable reparar      tn fusor
dos gomas pick up charola 
mant   iva


no autorizada   su orden 
",1498.0
135,"cacc      iva
",460.0
17,"no jala papel tn kit gomas pick up mant    iva
",1230.0
44,"no toma las hojas y se van chuecas co cable cintatractor y tapas  completa mant    iva
",400.0
80,"se atora las hojas con cartuchos de tinta cambio de puerto usb rep de traccion de papel servicio    iva


facturar a comercializadora de radio jalisco 
",480.0
202,"rev gral   engrane y servicio    iva
",410.0
17,"ruidos  ctoner   engrane del rodillo de calor 
engrane impulsor del fusor

mantenimiento   
puerta frontal quebrada  no cierra 


se entrega sin reparar",480.0
187,"lineas en impresion   destapado de cabezal     iva


valadezprodigynetmx",450.0
17,"mant  y rev gral desde cpu  ctndr   mant    iva

no se encontro falla alguna si recibe informacion desde usb 
",490.0
55,"no imprime el negro ccables muy tapada
destapado de cabezal ivaa                         quiza no destape al  si no llega a destapar pero queda funcional se cobrarias iva

se realizaron varios destapados y no hubo ninguna mejoria

se regresa sin reparacion",980.0
